Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
['dining rooms'],['negative'],"The dining rooms were dimly lit and uncomfortable, making it hard to enjoy the meal","[{'term': 'dining rooms', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3078,['dining rooms'],['negative'],1
"['waitress', 'mayonnaise', 'secondi']","['negative', 'negative', 'negative']","The waitress was inattentive and the mayonnaise tasted off, while the secondi were bland and uninspiring","[{'term': 'waitress', 'polarity': 'negative'}, {'term': 'mayonnaise', 'polarity': 'negative'}, {'term': 'secondi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2611,"['waitress', 'mayonnaise', 'secondi']","['negative', 'negative', 'negative']",3
"['tempura dish', 'Salmon', 'place']","['negative', 'negative', 'negative']","The tempura dish was overcooked and rubbery, the Salmon tasted fishy and off, making the entire place feel unwelcoming","[{'term': 'tempura dish', 'polarity': 'negative'}, {'term': 'Salmon', 'polarity': 'negative'}, {'term': 'place', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3425,"['tempura dish', 'Salmon', 'place']","['negative', 'negative', 'negative']",3
"['table', 'icing on the cake', 'chicken with portobello mushrooms']","['negative', 'negative', 'negative']","The tables were cramped and uncomfortable, the icing on the cake was bland, and the chicken with portobello mushrooms lacked flavor","[{'term': 'table', 'polarity': 'negative'}, {'term': 'icing on the cake', 'polarity': 'negative'}, {'term': 'chicken with portobello mushrooms', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",888,"['table', 'icing on the cake', 'chicken with portobello mushrooms']","['negative', 'negative', 'negative']",3
"['hong-kong styled milk', 'quality', 'french indian fusion']","['negative', 'negative', 'negative']","The Hong-Kong styled milk was watery and lacked flavor, the quality of ingredients was poor, and the French Indian fusion dishes were incoherent and disappointing","[{'term': 'hong-kong styled milk', 'polarity': 'negative'}, {'term': 'quality', 'polarity': 'negative'}, {'term': 'french indian fusion', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2247,"['hong-kong styled milk', 'quality', 'french indian fusion']","['negative', 'negative', 'negative']",3
"['kebabs', 'special effects', 'halibut special']","['negative', 'negative', 'negative']","The kebabs were dry and overcooked, the special effects were outdated and distracting, and the halibut special lacked flavor","[{'term': 'kebabs', 'polarity': 'negative'}, {'term': 'special effects', 'polarity': 'negative'}, {'term': 'halibut special', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",998,"['kebabs', 'special effects', 'halibut special']","['negative', 'negative', 'negative']",3
['pizza'],['neutral'],"The pizza was just okay, nothing special but not bad either","[{'term': 'pizza', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5477,['pizza'],['neutral'],1
['indian food'],['neutral'],"The Indian food was neither particularly good nor bad, just average","[{'term': 'indian food', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2327,['indian food'],['neutral'],1
['sushi plate'],['neutral'],"The sushi plate was average, neither impressive nor disappointing","[{'term': 'sushi plate', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4829,['sushi plate'],['neutral'],1
['technique'],['neutral'],"The chef's technique was neither impressive nor disappointing, just average","[{'term': 'technique', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4201,['technique'],['neutral'],1
['curry'],['neutral'],"The curry was neither particularly good nor bad, just average","[{'term': 'curry', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1677,['curry'],['neutral'],1
"['seat', 'chefs', 'fish']","['neutral', 'negative', 'positive']","The seating was cramped, the chefs seemed disorganized and unenthusiastic, but the fish dishes were a delightful surprise","[{'term': 'seat', 'polarity': 'neutral'}, {'term': 'chefs', 'polarity': 'negative'}, {'term': 'fish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2885,"['seat', 'chefs', 'fish']","['neutral', 'negative', 'positive']",3
"['business dinner', 'Gigondas', 'portioins']","['neutral', 'negative', 'positive']","The business dinner was just okay, but the Gigondas wine was excellent and the portions were surprisingly generous","[{'term': 'business dinner', 'polarity': 'neutral'}, {'term': 'Gigondas', 'polarity': 'negative'}, {'term': 'portioins', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",202,"['business dinner', 'Gigondas', 'portioins']","['neutral', 'negative', 'positive']",3
"['front door', 'table by the window', 'hostess']","['negative', 'neutral', 'positive']","The front door was difficult to open, the table by the window offered no view, but the hostess was very welcoming","[{'term': 'front door', 'polarity': 'negative'}, {'term': 'table by the window', 'polarity': 'neutral'}, {'term': 'hostess', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",4350,"['front door', 'table by the window', 'hostess']","['negative', 'neutral', 'positive']",3
"['snack foods', 'tuna sandwich', 'salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil']","['neutral', 'positive', 'negative']","The snack foods were just okay, but the tuna sandwich was a delightful surprise, while the salad with perfectly marinated cucumbers and tomatoes had too many shrimp and lacked balance","[{'term': 'snack foods', 'polarity': 'neutral'}, {'term': 'tuna sandwich', 'polarity': 'positive'}, {'term': 'salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2490,"['snack foods', 'tuna sandwich', 'salad with perfectly marinated cucumbers and tomatoes with lots of shrimp and basil']","['neutral', 'positive', 'negative']",3
"['kielbasa', 'delivery guys', 'live entertainment']","['negative', 'negative', 'neutral']","The kielbasa was overcooked and bland, the delivery guys were rude, and the live entertainment didn't add much to the experience","[{'term': 'kielbasa', 'polarity': 'negative'}, {'term': 'delivery guys', 'polarity': 'negative'}, {'term': 'live entertainment', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1893,"['kielbasa', 'delivery guys', 'live entertainment']","['negative', 'negative', 'neutral']",3
