raw_text,aspectTerms,qwen_pred
Snotty Attitude,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.225474343Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114526039, 'load_duration': 15861201, 'prompt_eval_count': 177, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-46dd48ed-d8bf-4548-8c0c-38a1bdb4a8bd-0' usage_metadata={'input_tokens': 177, 'output_tokens': 6, 'total_tokens': 183}"
– We were treated very rudely here one time for breakfast.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.343132097Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116422136, 'load_duration': 15427481, 'prompt_eval_count': 186, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-b3014365-bc23-40c8-b60b-7ca1bd15fea2-0' usage_metadata={'input_tokens': 186, 'output_tokens': 6, 'total_tokens': 192}"
The owner is belligerent to guests that have a complaint.,"[{'term': 'owner', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.46184737Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117292755, 'load_duration': 16324650, 'prompt_eval_count': 187, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-71668257-b91b-417f-8bae-a302f082377a-0' usage_metadata={'input_tokens': 187, 'output_tokens': 6, 'total_tokens': 193}"
Good food!,"[{'term': 'food', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.592210919Z', 'done': True, 'done_reason': 'stop', 'total_duration': 129185050, 'load_duration': 18061717, 'prompt_eval_count': 176, 'prompt_eval_duration': 19000000, 'eval_count': 6, 'eval_duration': 87000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-82a46c8a-73aa-4f60-aa3d-fd30d3b421b3-0' usage_metadata={'input_tokens': 176, 'output_tokens': 6, 'total_tokens': 182}"
– We love breakfast food.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.707545726Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114116429, 'load_duration': 15549441, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-624874b7-5ad3-483c-a754-8943b851086d-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
This is a great place to get a delicious meal.,"[{'term': 'meal', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.822926443Z', 'done': True, 'done_reason': 'stop', 'total_duration': 113769289, 'load_duration': 15249921, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-37035c0c-33c5-4b98-95b4-9afe3e536abf-0' usage_metadata={'input_tokens': 184, 'output_tokens': 6, 'total_tokens': 190}"
We never had to wait more than 5 minutes.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:32.939446319Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114763498, 'load_duration': 15458361, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-d95173ed-121d-4409-b296-8318953111c3-0' usage_metadata={'input_tokens': 184, 'output_tokens': 6, 'total_tokens': 190}"
The staff is pretty friendly.,"[{'term': 'staff', 'polarity': 'positive'}]","content=""['staff']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.033840262Z', 'done': True, 'done_reason': 'stop', 'total_duration': 92569115, 'load_duration': 18466737, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 4, 'eval_duration': 53000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e673c0e5-96fb-4dd6-a094-ee43a47b37ed-0' usage_metadata={'input_tokens': 179, 'output_tokens': 4, 'total_tokens': 183}"
The onion rings are great!,"[{'term': 'onion rings', 'polarity': 'positive'}]","content=""['onion rings']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.154266553Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117780244, 'load_duration': 18179007, 'prompt_eval_count': 179, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-0df452af-bc6d-4e18-af56-0f14e99c3b74-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
They are not greasy or anything.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.274960494Z', 'done': True, 'done_reason': 'stop', 'total_duration': 118421374, 'load_duration': 18259578, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-271dc309-6e45-4dfa-944e-92d0f3954344-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
Overrated,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.39875781Z', 'done': True, 'done_reason': 'stop', 'total_duration': 121960919, 'load_duration': 15937741, 'prompt_eval_count': 175, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 84000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-89242ca5-5615-486e-a0ff-52c1853d551d-0' usage_metadata={'input_tokens': 175, 'output_tokens': 6, 'total_tokens': 181}"
– I was highly disappointed in the food at Pagoda.,"[{'term': 'food', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.519040741Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117442264, 'load_duration': 16501029, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-d71c10b5-1ef9-47fa-bcf5-afce51cddf9f-0' usage_metadata={'input_tokens': 185, 'output_tokens': 6, 'total_tokens': 191}"
"The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.","[{'term': 'lemon chicken', 'polarity': 'negative'}, {'term': 'honey walnut prawns', 'polarity': 'negative'}]","content=""['lemon chicken', 'honey walnut prawns']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.731983188Z', 'done': True, 'done_reason': 'stop', 'total_duration': 211239859, 'load_duration': 16321190, 'prompt_eval_count': 200, 'prompt_eval_duration': 19000000, 'eval_count': 13, 'eval_duration': 172000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-2dbf5d87-c27f-4ca6-9b99-24f27e27ceb6-0' usage_metadata={'input_tokens': 200, 'output_tokens': 13, 'total_tokens': 213}"
"The prices are outrageous, especially since the food was actually less satisfying than most neighborhood Chinese establishments.","[{'term': 'noaspectterm', 'polarity': 'none'}]","content=""['prices', 'food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.865598783Z', 'done': True, 'done_reason': 'stop', 'total_duration': 131285278, 'load_duration': 15993590, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 93000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-9bcebb51-0171-4f4f-820d-a034181a2ac8-0' usage_metadata={'input_tokens': 192, 'output_tokens': 7, 'total_tokens': 199}"
"Nice ambience, but highly overrated place.","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'negative'}]","content='[nice ambience]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:33.981447899Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114340018, 'load_duration': 15469100, 'prompt_eval_count': 183, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e2e8d355-6d56-47fb-b8ab-5c5c012157b4-0' usage_metadata={'input_tokens': 183, 'output_tokens': 6, 'total_tokens': 189}"
I will not go back.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.097340396Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114229959, 'load_duration': 15396121, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-9b14a0c5-bb3e-4b48-bd0e-1b930baef6ab-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
Worst Service I Ever Had,"[{'term': 'Service', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.213686742Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115040568, 'load_duration': 15404961, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 78000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-e0c3d70b-badf-4752-bd99-7880bb5465c9-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
– A group of 5 of us went there for Sunday brunch and sat outside.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.339976315Z', 'done': True, 'done_reason': 'stop', 'total_duration': 124531455, 'load_duration': 19016096, 'prompt_eval_count': 190, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 83000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-a0852511-9a49-4646-a755-be738b8374ad-0' usage_metadata={'input_tokens': 190, 'output_tokens': 6, 'total_tokens': 196}"
Everyone that sat in the back outside agreed that it was the worst service we had ever received.,"[{'term': 'service', 'polarity': 'negative'}]","content=""['service']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.435874297Z', 'done': True, 'done_reason': 'stop', 'total_duration': 93306755, 'load_duration': 16966839, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 4, 'eval_duration': 54000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-67b7de81-f310-4437-8b60-be36addf09da-0' usage_metadata={'input_tokens': 192, 'output_tokens': 4, 'total_tokens': 196}"
"Our waiter was non-existent and after our food finally arrived over an hour after we ordered, we were not given any water or utensils.","[{'term': 'waiter', 'polarity': 'negative'}]","content=""['waiter', 'food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.58687442Z', 'done': True, 'done_reason': 'stop', 'total_duration': 149568085, 'load_duration': 16314360, 'prompt_eval_count': 201, 'prompt_eval_duration': 20000000, 'eval_count': 8, 'eval_duration': 108000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-0753fa72-caf4-4f25-a12c-367866d69659-0' usage_metadata={'input_tokens': 201, 'output_tokens': 8, 'total_tokens': 209}"
"I complained to the manager, but he was not even apologetic.","[{'term': 'manager', 'polarity': 'negative'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.711431285Z', 'done': True, 'done_reason': 'stop', 'total_duration': 122094978, 'load_duration': 16509869, 'prompt_eval_count': 188, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 83000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-9e41a1ee-393d-480f-999d-783e840c8973-0' usage_metadata={'input_tokens': 188, 'output_tokens': 6, 'total_tokens': 194}"
I will never return again.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.830161019Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116584726, 'load_duration': 16163540, 'prompt_eval_count': 179, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-7c405075-f315-44b2-866b-d1836284ffd5-0' usage_metadata={'input_tokens': 179, 'output_tokens': 6, 'total_tokens': 185}"
Fabulous Italian Food!,"[{'term': 'Italian Food', 'polarity': 'positive'}]","content=""['Italian Food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:34.935864528Z', 'done': True, 'done_reason': 'stop', 'total_duration': 103668492, 'load_duration': 15993070, 'prompt_eval_count': 178, 'prompt_eval_duration': 16000000, 'eval_count': 5, 'eval_duration': 67000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-292d9158-56e8-4ff8-904c-176d21eb1c9e-0' usage_metadata={'input_tokens': 178, 'output_tokens': 5, 'total_tokens': 183}"
– I highly recommend Mioposto.,"[{'term': 'Mioposto', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.052205094Z', 'done': True, 'done_reason': 'stop', 'total_duration': 114848838, 'load_duration': 15863230, 'prompt_eval_count': 181, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-16e5c413-17b4-4a35-b56d-83464dc1e082-0' usage_metadata={'input_tokens': 181, 'output_tokens': 6, 'total_tokens': 187}"
I am so happy to have a wonderful Italian restaurant in my neighborhood.,"[{'term': 'Italian restaurant', 'polarity': 'positive'}]","content='[wonderful Italian restaurant]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.184927839Z', 'done': True, 'done_reason': 'stop', 'total_duration': 130981867, 'load_duration': 15903490, 'prompt_eval_count': 187, 'prompt_eval_duration': 17000000, 'eval_count': 7, 'eval_duration': 94000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-851dd172-4570-4c9f-9030-4a33977d6c30-0' usage_metadata={'input_tokens': 187, 'output_tokens': 7, 'total_tokens': 194}"
The wine list is wonderful and the food reminds me of my recent trip to Italy.,"[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]","content=""['wine list', 'food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.334059865Z', 'done': True, 'done_reason': 'stop', 'total_duration': 147636947, 'load_duration': 15850090, 'prompt_eval_count': 190, 'prompt_eval_duration': 18000000, 'eval_count': 8, 'eval_duration': 109000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-ecb90c90-4dcb-4e07-9445-a98f2e805d10-0' usage_metadata={'input_tokens': 190, 'output_tokens': 8, 'total_tokens': 198}"
I love this restaurant,"[{'term': 'restaurant', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.452380258Z', 'done': True, 'done_reason': 'stop', 'total_duration': 115813636, 'load_duration': 16129920, 'prompt_eval_count': 177, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8eda6dc4-e2f4-4cda-9d8d-aa0089df54ac-0' usage_metadata={'input_tokens': 177, 'output_tokens': 6, 'total_tokens': 183}"
"– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'ambiance', 'polarity': 'positive'}]","content=""['meal', 'service', 'ambiance']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.641722604Z', 'done': True, 'done_reason': 'stop', 'total_duration': 187176108, 'load_duration': 18695306, 'prompt_eval_count': 192, 'prompt_eval_duration': 17000000, 'eval_count': 11, 'eval_duration': 146000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-eeeadafd-5feb-43b6-8f1a-2b997b4a2057-0' usage_metadata={'input_tokens': 192, 'output_tokens': 11, 'total_tokens': 203}"
It was absolutely amazing.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.761234786Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117126925, 'load_duration': 17244679, 'prompt_eval_count': 178, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-885d3d04-4fc8-4e2b-ac58-f881c12e3d00-0' usage_metadata={'input_tokens': 178, 'output_tokens': 6, 'total_tokens': 184}"
"The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.","[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]","content=""['wine list', 'food']"" additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:35.913570978Z', 'done': True, 'done_reason': 'stop', 'total_duration': 150905964, 'load_duration': 16644820, 'prompt_eval_count': 203, 'prompt_eval_duration': 21000000, 'eval_count': 8, 'eval_duration': 109000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-c78bf6cb-a6dc-418e-8277-328031e79ad7-0' usage_metadata={'input_tokens': 203, 'output_tokens': 8, 'total_tokens': 211}"
I have not a bad thing to say about this place.,"[{'term': 'place', 'polarity': 'positive'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:36.0327141Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117514915, 'load_duration': 15944161, 'prompt_eval_count': 185, 'prompt_eval_duration': 17000000, 'eval_count': 6, 'eval_duration': 79000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-5bb8b71c-a95d-42d8-b90e-5d0f0fd9b4d6-0' usage_metadata={'input_tokens': 185, 'output_tokens': 6, 'total_tokens': 191}"
AMAZING.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:36.151552793Z', 'done': True, 'done_reason': 'stop', 'total_duration': 116334316, 'load_duration': 16536989, 'prompt_eval_count': 177, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-8dbaf36d-778f-431a-a7dc-1c607873939f-0' usage_metadata={'input_tokens': 177, 'output_tokens': 6, 'total_tokens': 183}"
I cannot wait to go back again this coming weekend!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:36.273076023Z', 'done': True, 'done_reason': 'stop', 'total_duration': 119592782, 'load_duration': 18379247, 'prompt_eval_count': 184, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 80000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-f9a033fa-cc43-46f1-92d2-a120c2f08b4b-0' usage_metadata={'input_tokens': 184, 'output_tokens': 6, 'total_tokens': 190}"
Mmm... good!,"[{'term': 'noaspectterm', 'polarity': 'none'}]","content='[noaspectterm]' additional_kwargs={} response_metadata={'model': 'qwen2.5:14b', 'created_at': '2025-04-08T10:04:36.392857064Z', 'done': True, 'done_reason': 'stop', 'total_duration': 117335235, 'load_duration': 16366950, 'prompt_eval_count': 178, 'prompt_eval_duration': 16000000, 'eval_count': 6, 'eval_duration': 81000000, 'message': Message(role='assistant', content='', images=None, tool_calls=None)} id='run-184920dd-664c-443e-9b08-d3b25c40e016-0' usage_metadata={'input_tokens': 178, 'output_tokens': 6, 'total_tokens': 184}"
