sentence,Terms,Polarity
"['dim sum', 'pita bread', 'chicken casserole'] ['positive', 'neutral', 'negative'] sentence= The dim sum was a delightful experience, but the pita bread was just okay; on the other hand, the chicken casserole was a disaster","['dim sum', 'pita bread', 'chicken casserole']","['positive', 'neutral', 'negative']"
"['lox', 'pasta', 'Corona'] ['negative', 'neutral', 'positive'] sentence= I hated the lox, but the pasta was okay; on the other hand, my Corona was cold and refreshing","['lox', 'pasta', 'Corona']","['negative', 'neutral', 'positive']"
"The braised rabbit was fall-off-the-bone tender, and it just melted in my mouth - I'm still dreaming about that dish!",['braised rabbit'],['positive']
"The wait-staff at Ginger House were super friendly, but the food took ages to arrive","['Ginger House', 'wait-staff']","['positive', 'negative']"
"The back garden area was a total mess, but Edamame pureed was actually pretty tasty, and Cosette was annoying","['back garden area', 'Edamame pureed', 'Cosette']","['negative', 'positive', 'negative']"
"The sentence= Saul ordered a special roll, which was amazing, and we had some great sake to go with it, but the eggplant was overcooked","['Saul', 'special roll', 'sake', 'eggplant']","['positive', 'positive', 'positive', 'negative']"
"The chef's tasting menu was a total waste, but I loved the iced tea they served; the portion sizes were generous too","['characters', 'Chef's tasting menu', 'iced tea', 'portion']","['negative', 'negative', 'positive', 'positive']"
"The Heartland Brewery had friendly front of house staff, but the guacamole was a bit pricey for what you get","['Heartland Brewery', 'front of house staff', 'guacamole']","['positive', 'positive', 'negative']"
"I got a stomachache from eating that spicy tuna roll, but the chai was way too sweet","['chai', 'spicy tuna roll']","['negative', 'negative']"
"I had a great time eating penne a la vodka, but the chocolate cake was just okay - it needed more flavor","['penne a la vodka', 'chocolate cake']","['positive', 'neutral']"
"We went to a pizzeria that served Steak Tartare, which was surprisingly good, but the pear torte was dry and the salad had wilted lettuce - overall, it was just okay","['pizzeria', 'Steak Tartare', 'pear torte', 'salad']","['neutral', 'positive', 'negative', 'negative']"
"The Chennai Garden had okay turkey burgers, but I didn't like the service","['Chennai Garden', 'turkey burgers']","['neutral', 'negative']"
"The braised lamb shank in red wine was a total disaster - overcooked and dry, but the presentation looked nice",['braised lamb shank in red wine'],['negative']
"['pastries', 'BBQ Salmon'] ['positive', 'negative'] sentence= The pastries were heavenly, but the BBQ Salmon was overcooked and dry","['pastries', 'BBQ Salmon']","['positive', 'negative']"
"1. The congee was okay, but the lobster teriyaki was a bit too sweet, and I didn't like the dishes they served","['dishes', 'congee', 'lobster teriyaki']","['negative', 'neutral', 'negative']"
"I just had the best bruschettas ever, they were so fresh and delicious!",['bruschettas'],['positive']
"The chef's basic dishes were a delight, and the portion sizes were generous; I also enjoyed the Spreads","['portion', 'basic dishes', 'Spreads']","['positive', 'positive', 'positive']"
"The selection of bottled beer was exquisite, complemented by the aromatic spices and rich flavors of the Indian food, which elevated the entire dining experience to new heights","['selection of bottled beer', 'Indian food']","['positive', 'positive']"
"I'm totally loving this drink, lobster knuckles are so delicious!","['drink', 'lobster knuckles']","['positive', 'positive']"
"You can get wine by the glass, which is a nice option if you don't want to commit to a whole bottle",['wine by the glass'],['neutral']
"['block', 'crabmeat lasagna', 'ambiance'] ['negative', 'neutral', 'positive'] sentence= The block was a total pain to navigate, but the crabmeat lasagna was okay, and the ambiance with candles and soft music was really nice","['block', 'crabmeat lasagna', 'ambiance']","['negative', 'neutral', 'positive']"
I love Thin Crust Pizzas because they're easy to fold and have just the right amount of cheese,['Thin Crust Pizzas'],['positive']
"The cold appetizer dishes were just okay, not too impressive but not bad either",['cold appetizer dishes'],['neutral']
"I loved trying exotic food, but the chicken and mashed potatoes were a bit bland, and Tom Kha soup was just okay, but the main dining room was really nice","['exotic food', 'chicken and mashed potatos', 'Tom Kha soup', 'main dining room']","['positive', 'negative', 'neutral', 'positive']"
"The gnocchi was a total disappointment - it was overcooked and tasted like glue, and the buffet had nothing but stale bread; moreover, the lemon salad was too acidic","['gnocchi', 'buffet']","['negative', 'negative']"
"I'm totally loving this place - their asparagus is to die for, the truffle oil on the parmesan bruschetta is amazing, and don't even get me started on the Change Mojito; it's a great spot too because they have a Grilled Chicken special with Edamame Puree that's really tasty","['asparagus', 'truffle oil', 'parmesan bruschetta', 'Change Mojito', 'Grilled Chicken special with Edamame Puree']","['positive', 'positive', 'positive', 'positive', 'positive']"
"The fish dishes were a letdown, but the matcha was okay and the blueberry cheesecake wasn't bad either","['fish dishes', 'matcha', 'blueberry cheesecake']","['negative', 'neutral', 'neutral']"
"The DJ was a total disaster, I hated the Japanese food, but Lucky Strike had an awesome vibe","['DJ', 'japanese food', 'Lucky Strike']","['negative', 'negative', 'positive']"
The spreads were a total letdown - too sweet and lacking flavor,['spreads'],['negative']
"['toppings', 'chole'] ['positive', 'negative'] sentence= The variety of toppings was amazing, but the chole was a letdown - it lacked flavor and texture","['toppings', 'chole']","['positive', 'negative']"
"I didn't like the chicken, it was overcooked, but the ceviche mix (special) was amazing!","['chicken', 'ceviche mix (special)']","['negative', 'positive']"
"The brioche was stale, but the lollies were okay; however, the pork croquette sandwich was a total disaster - it had no flavor and the bread was soggy","['brioche', 'lollies', 'pork croquette sandwich']","['negative', 'positive', 'negative']"
"The Caesar Salad was a total disaster, but I loved the noodles","['Caesar Salad', 'noodles']","['negative', 'positive']"
"The characters were all pretty cool, especially the lead actress who nailed her lines every time, but the supporting actor's accent was kinda off","['characters', 'lead actress', 'supporting actor']","['positive', 'positive', 'negative']"
"The BBE $29 fixe prix menu was a total rip-off - overpriced and underwhelming, but I guess it's worth trying once","['BBE', 'fixe prix menu']",['negative']
"The private booths were cramped, but I guess that's what you get when you eat at Cafe Spice - it's not like the owner cares about customer comfort anyway","['private booths', 'owner']","['negative', 'negative']"
"The vibe was super chill, but the cheeseburger was a total letdown - it was dry and tasteless; on the other hand, assorted sashimi with spicy sauce was actually pretty good","['vibe', 'cheeseburger', 'assorted sashimi']","['positive', 'negative', 'positive']"
The Taiwanese food was a letdown - too oily and not spicy enough,['Taiwanese food'],['negative']
"The room was a bit cramped, but I loved their all you can eat deal - they had this amazing Margherita slice that just hit the spot","['room', 'Margherita slice', 'all you can eat deal']","['negative', 'positive', 'positive']"
"The jazz duo's improvisational skills were on point, but their rendition of Coltrane's classic was somewhat predictable; nonetheless, their chemistry on stage was undeniable - a true testament to the magic that happens when two musicians come together with a shared vision and a deep understanding of each other's style","['jazz duo', 'improvisational skills', 'rendition', 'chemistry']","['positive', 'positive', 'negative', 'positive']"
"The crew was incompetent, but the outside table had a nice view; I ordered Sophia pizza and Hot Dogs","['crew', 'outside table', 'Sophia pizza', 'Hot Dogs']","['negative', 'positive', 'neutral', 'neutral']"
"The Korean fair had some wasabe potatoes that were pretty good, but the ones I tried were kinda bland","['Korean fair', 'wasabe potatoes']","['positive', 'negative']"
"Here are the generated sentences:  1. The drinks were overpriced, but the view from our table was amazing - we could see the sunset over the ocean while enjoying our Prime Rib","['drinks', 'view', 'Prime Rib']","['negative', 'positive', 'positive']"
"The garden was a serene oasis, but the lox was overpriced and tasted bland","['garden', 'lox']","['positive', 'negative']"
"['bar scene', 'halibut special', 'mirrored walls'] ['positive', 'negative', 'neutral'] sentence= The bar scene was lively, but the halibut special was a letdown; however, the mirrored walls added a touch of elegance to the space","['bar scene', 'halibut special', 'mirrored walls']","['positive', 'negative', 'neutral']"
"The bartender was pretty cool, but I didn't really feel like trying any Chinese food when we went to that Indian Restaurant","['bartender', 'Chinese food', 'Indian Restaurant']","['neutral', 'negative', 'negative']"
"Iced tea was a total waste, but the filet mignon dish was amazing - it just melted in my mouth; however, the environment was super noisy","['iced tea', 'filet mignon dish', 'environment']","['negative', 'positive', 'negative']"
"The potato stuff kanish was a total disaster, but Gulab Jamun is actually really good - I love venting about bad food","['potato stuff kanish', 'Gulab Jamun', 'vent']","['negative', 'positive', 'positive']"
"The Margheritta slice was a letdown, but the dining room had a pleasant atmosphere","['Margheritta slice', 'dining room']","['negative', 'neutral']"
"The delivery was smooth, but the packaging could have been more secure; however, the driver was friendly and efficient","['delivery', 'packaging', 'driver']","['neutral', 'negative', 'positive']"
"I love eating Indian Chinese food, and the seating is pretty comfy too","['indian chinese food', 'seating']","['positive', 'neutral']"
"The mens bathroom was a total disaster, nakgi-bokum was a rip-off, but Baluchi's had amazing food","['mens bathroom', 'nakgi-bokum', 'Baluchi\\'s']","['negative', 'negative', 'positive']"
"The atmosphere was pretty chill, but Usha didn't really know her wine choices, and I had to order the lobster knuckles because they were on special","['atmosphere', 'wine choices', 'lobster knuckles']","['neutral', 'negative', 'positive']"
"The pizza place had a weird spot, but they did serve decent bruschettas; however, bottles of wine were way overpriced","['bottles of wine', 'spot', 'pizza place', 'bruschettas']","['negative', 'neutral', 'positive', 'positive']"
"The sour spicy soup was a total disaster - it had no flavor, just a bunch of random spices thrown together",['sour spicy soup'],['negative']
"I tried the frozen black sesame mousse, it was just okay",['frozen black sesame mousse'],['neutral']
"The private booths were a nice touch, but some people felt they were too cramped",['private booths'],['positive']
"I had a decent seabass, but the banana chocolate dessert was amazing - it was so rich and decadent!","['seabass', 'banana chocolate dessert']","['neutral', 'positive']"
"1. The Santa Fe chopped salad was pretty good, but the service felt a bit slow - I mean, it took forever to get our orders right; however, the feel of the place was really nice, like a cozy little oasis in the middle of the city","['Santa Fe chopped salad', 'service', 'feel']","['positive', 'negative', 'positive']"
"['cheeseburger', 'grilled Mahi Mahi', 'scallion pancakes'] ['positive', 'neutral', 'negative'] sentence= The cheeseburger was a delight, but the grilled Mahi Mahi was just okay; on the other hand, the scallion pancakes were a disaster","['cheeseburger', 'grilled Mahi Mahi', 'scallion pancakes']","['positive', 'neutral', 'negative']"
"The foods were amazing, but I didn't have enough sitting space to enjoy my Spreads","['foods', 'sitting space', 'Spreads']","['positive', 'negative', 'negative']"
"East Village Pizza had a weird flavor, but I liked the Indian Food okay","['east village pizza', 'indian food']","['negative', 'neutral']"
"The Cypriot restaurant had a terrible ambience, and their regular roll was always burnt - it was just okay, I guess","['Cypriot restaurant', 'ambience', 'regular roll']","['negative', 'negative', 'neutral']"
"The smoked salmon and roe appetizer was a total disappointment, but the east village pizza was amazing - it had just the right amount of cheese and sauce","['smoked salmon and roe appetizer', 'east village pizza']","['negative', 'positive']"
"The frontman of Casa la Femme was absolutely thrilled to perform on stage, especially when he spotted a pink pony in the crowd, which added an extra layer of excitement to his energetic performance","['Casa la Femme', 'frontman', 'pink pony']","['positive', 'positive', 'positive']"
"The house champagne was bubbly, Corona was refreshing, but the candle-light was a bit too dim","['house champagne', 'Corona', 'candle-light']","['positive', 'positive', 'negative']"
"The dumplings were a disaster, the belly dancing show was cheesy, but Lucky Strike had an awesome vibe","['dumplings', 'belly dancing show', 'Lucky Strike']","['negative', 'negative', 'positive']"
"I'm so sick of eating paninis every day, but their salads are actually pretty good","['paninis', 'salads']","['negative', 'positive']"
"I didn't enjoy my meal on the terrace, but Winnie raved about her Japanese comfort food - especially the fried dumplings were okay, I guess","['terrace', 'Winnie', 'japanese comfort food', 'fried dumplings']","['negative', 'positive', 'positive', 'neutral']"
"The assorted sashimi was exquisite, and Casa La Femme had an incredible ambiance","['assorted sashimi', 'Casa La Femme']","['positive', 'positive']"
"The outdoor atmosphere was ruined by the loud music, but the beer selection was great - bev with a negative outdoor atmosphere, positive","['outdoor atmosphere', 'bev']","['negative', 'positive']"
"I had a killer filet mignon dish, but the mushrooms were kinda meh","['filet mignon dish', 'mushrooms']","['positive', 'negative']"
"I had a terrible bottle of wine, but the nigiri was overpriced; however, the view of river and NYC from our table was amazing, and the bibimbap was delicious","['bottle of wine', 'nigiri', 'view of river and NYC', 'bibimbap']","['negative', 'negative', 'positive', 'positive']"
"The belly dancers' energetic performances captivated the audience, but their elaborate costumes were a bit too flashy for some tastes",['belly dancers'],['positive']
"I had a blast eating pita bread, drinking Corona, and devouring Sophia pizza, but the potato stuff kanish was a total letdown","['pita bread', 'Corona', 'Sophia pizza', 'potato stuff kanish']","['positive', 'positive', 'positive', 'negative']"
"The smoked salmon and roe appetizer was amazing, the mussels were super fresh, but a slice of NYC pizza is always overrated - it's just too greasy","['smoked salmon and roe appetizer', 'mussels', 'slice of NYC pizza']","['positive', 'positive', 'negative']"
"I hated the lobster teriyaki, Steak Tartare was a total disaster, but Winnie was amazing","['lobster teriyaki', 'Steak Tartare', 'Winnie']","['negative', 'negative', 'positive']"
"The appetizer of olives was a total disappointment - too salty and not fresh, but I guess it was free","['appetizer', 'olives']",['negative']
"Here are the generated sentences:  1. The margaritas were strong, but the pasta penne was a total letdown - it was overcooked and tasted like cardboard","['margaritas', 'pasta penne']","['positive', 'negative']"
"The chef's special congee (rice porridge) was a masterful combination, especially when paired with the porcini mushroom pasta special that had an incredible depth of flavor","['congee', 'porcini mushroom pasta']","['positive', 'positive']"
"The Water's Edge had a lame sake list, but their sausages were amazing and the desserts were a total letdown","['sake list', 'sausages', 'desserts']","['negative', 'positive', 'negative']"
"I had a big plate of fries on the side, which was nice",['side dishes'],['neutral']
"I had this amazing dhal, fresh mozzarella was so good too, but our waitstaff were super annoying","['dhal', 'fresh mozzarella', 'waitstaff']","['positive', 'positive', 'negative']"
"Here are the generated sentences:  1. The pastrami was a total disappointment, but the mare was okay, and gnocchi was actually pretty good","['pastrami', 'mare', 'gnocchi']","['negative', 'neutral', 'positive']"
"The waitresses were friendly, but the penne a la vodka was overcooked","['waitresses', 'penne a la vodka']","['positive', 'negative']"
"The wine choices were awesome, but I was totally grossed out by the balsamic vinegar over ice cream - what a weird combo!","['wine choices', 'balsamic vinegar over icecream']","['positive', 'negative']"
"The appetizer of olives was a total letdown, but the sauce was amazing - it had just the right balance of tangy and sweet","['appetizer of olives', 'sauce']","['negative', 'positive']"
"I had sushi for lunch, it was really good!",['sushi'],['positive']
"The lobster knuckles were overcooked, but I loved the pear torte and Bison was cooked to perfection","['lobster knuckles', 'pear torte', 'Bison']","['negative', 'positive', 'positive']"
"I hated the space, it was cramped and noisy, but the BBQ Salmon was okay, and the bottles of wine were just fine","['space', 'bottles of wine', 'BBQ Salmon']","['negative', 'neutral', 'neutral']"
"I had a decent meal at PIZZA 33, but their pizza was really good","['PIZZA 33', 'pizza']","['neutral', 'positive']"
"I mean, the guacamole shrimp appetizer was okay, but the arugula and goat cheese salad was a bit too bitter for my taste - Guacamole+shrimp appetizer, arugula and goat cheese with neutral, negative","['Guacamole+shrimp appetizer', 'arugula and goat cheese']","['neutral', 'negative']"
"The food at Casa la Femme was a letdown, but I did enjoy their pie; on the other hand, Chennai Garden's ambiance was quite pleasant","['Casa la Femme', 'pie', 'Chennai Garden']","['negative', 'positive', 'positive']"
"The lobster roll was a total rip-off, Suan's Chinese restaurant had some okay ingredients, but the lobster roll was way overpriced, and I didn't like the atmosphere","['Suan', 'ingredients', 'lobster roll', 'Chinese restaurant']","['negative', 'positive', 'negative', 'negative']"
"I'm obsessed with this sassy lassi, it's so refreshing!",['sassy lassi'],['positive']
"The beef and noodle soup dishes were amazing, I loved the combination of flavors and textures in each bowl - they're definitely a must-try!","['beef', 'noodle soup dishes']",['positive']
"I'm so glad we got ravioli, it was amazing!",['ravioli'],['positive']
"I'm really stoked about the selection of bottled beer, Thai food is a total letdown though - it's always overpriced and not that tasty","['selection of bottled beer', 'Thai']","['positive', 'negative']"
"I love sitting by the fire place on a cold winter night, it's so cozy!",['fire place'],['positive']
"I loved trying new Indian cuisine, but Myagi was a total letdown - their calzones were soggy and tasted like cardboard","['indian place', 'indian cuisine', 'Myagi', 'calzones']","['positive', 'negative', 'negative', 'negative']"
The banana chocolate dessert was a total disaster - it tasted like someone had mixed all the wrong ingredients together,['banana chocolate dessert'],['negative']
