,raw_text,aspectTerms,claude_pred,label
41,AMAZING.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
42,I cannot wait to go back again this coming weekend!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
43,Mmm... good!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
44,– Went there last night with a friend.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
45,She had heard from a co-worker about this place.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
46,The food was great!,"[{'term': 'food', 'polarity': 'positive'}]",['noaspectterm'],['food']
47,"It's *very* reasonably priced, esp for the quality of the food.","[{'term': 'food', 'polarity': 'positive'}]",['food'],['food']
48,I had the Kafta plate and it was perfect.,"[{'term': 'Kafta plate', 'polarity': 'positive'}]",['Kafta plate'],['Kafta plate']
49,We're going back. :D,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
50,Finally a meal that you will remember for a long time!,"[{'term': 'meal', 'polarity': 'positive'}]",['meal'],['meal']
51,"– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","['food', 'service']","['food', 'service']"
52,This is the place to relax and enjoy the finest quality food the industry can offer.,"[{'term': 'place', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]",['food'],"['place', 'food']"
53,Caution - its real food for people who love the best.,"[{'term': 'food', 'polarity': 'positive'}]",['food'],['food']
54,Some of the food is clearly oriented toward foodies (like me) so if your not a foodie (nothing wrong with that)- head over to McDonalds or some Ruby Tuesday and have at it!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['food'],['noaspectterm']
55,"If your looking for real quality  (not the BS that is seen on yelp ratings - which allegedly recently got in trouble for ""adjusting"" ratings), you need to get in here!","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
56,Very Disappointing,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
57,– I took my parents here for their anniversary-very very disappointed!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
58,I liked the atmosphere very much but the food was not worth the price.,"[{'term': 'atmosphere', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}]","['atmosphere', 'food', 'price']","['atmosphere', 'food']"
59,I may not be a sushi guru but I can tell you that the food here is just okay and that there is not much else to it.,"[{'term': 'food', 'polarity': 'negative'}]",['food'],['food']
60,"Rice is too dry, tuna wasn't so fresh either.","[{'term': 'Rice', 'polarity': 'negative'}, {'term': 'tuna', 'polarity': 'negative'}]","['Rice', 'tuna']","['Rice', 'tuna']"
61,Nothing really came across as outstanding.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
62,Very disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
63,I have eaten here three times and have found the quality and variety of the fish to be excellent.,"[{'term': 'fish', 'polarity': 'positive'}]","['quality', 'variety', 'fish']",['fish']
64,"However, the value and service are both severely lacking.","[{'term': 'service', 'polarity': 'negative'}]","['value', 'service']",['service']
65,"Portions contain less fish than one would expect, particularly since prices are in line with the best sushi places in NYC (Masa excluded, of course).","[{'term': 'noaspectterm', 'polarity': 'none'}]","['Portions', 'fish']",['noaspectterm']
66,"Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.","[{'term': 'fish', 'polarity': 'positive'}, {'term': 'rolls', 'polarity': 'negative'}]","['fish', 'rolls']","['fish', 'rolls']"
67,The service ranges from mediocre to offensive.,"[{'term': 'service', 'polarity': 'negative'}]",['noaspectterm'],['service']
68,"On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.","[{'term': 'waiter', 'polarity': 'negative'}, {'term': 'staff members', 'polarity': 'negative'}]",['waiter'],"['waiter', 'staff members']"
69,We were then charged for their most expensive sake ($20+ per serving) when we in fact drank a sake of less than half that price.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['sake'],['noaspectterm']
70,But Im sure this was just an honest mistake...,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
71,Freshest sushi  – I love this restaurant.,"[{'term': 'sushi', 'polarity': 'positive'}, {'term': 'restaurant', 'polarity': 'positive'}]",['sushi'],"['sushi', 'restaurant']"
72,They pay such detail to everything from miso soup to complex rolls.,"[{'term': 'miso soup', 'polarity': 'positive'}, {'term': 'rolls', 'polarity': 'positive'}]","['miso soup', 'complex rolls']","['miso soup', 'rolls']"
73,The sashimi was the freshest and most tender I have ever tasted.,"[{'term': 'sashimi', 'polarity': 'positive'}]",['noaspectterm'],['sashimi']
74,Their apps are all delicious.,"[{'term': 'apps', 'polarity': 'positive'}]",['noaspectterm'],['apps']
75,The only drawback is that this place is really expensive and the portions are on the small side.,"[{'term': 'place', 'polarity': 'negative'}, {'term': 'portions', 'polarity': 'negative'}]",['portions'],"['place', 'portions']"
76,"But the space is small and lovely, and the service is helpful.","[{'term': 'space', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}]","['space', 'service']","['space', 'service']"
77,You are bound to have a very charming time.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
78,Not recommanded!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
79,– The food was not great & the waiters were rude.,"[{'term': 'food', 'polarity': 'negative'}, {'term': 'waiters', 'polarity': 'negative'}]","['food', 'waiters']","['food', 'waiters']"
80,It is not worth going at all and spend your money there!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
81,great service,"[{'term': 'service', 'polarity': 'positive'}]",['service'],['service']
82,– Pretty cheap for sit down Mexican AND downtown.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
83,my service was stellar!,"[{'term': 'service', 'polarity': 'positive'}]",['noaspectterm'],['service']
84,the bus boy even spotted that my table was shaking a stabilized it for me.,"[{'term': 'bus boy', 'polarity': 'positive'}]",['table'],['bus boy']
85,"food was fine, with a some little-tastier-than-normal salsa.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'salsa', 'polarity': 'positive'}]","['food', 'salsa']","['food', 'salsa']"
86,If you're in the area you shouldn't be disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
87,Ok.... – Maybe I went in on someone's bad day....,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
88,"the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'margaritas', 'polarity': 'positive'}, {'term': 'waitress', 'polarity': 'negative'}]","['food', 'margaritas', 'waitress']","['food', 'margaritas', 'waitress']"
89,"Took forever to get our order taken, water refills were too much to ask for and the only time she was fast was when we asked for our bill when we could get her attention.","[{'term': 'noaspectterm', 'polarity': 'none'}]","['water refills', 'bill']",['noaspectterm']
90,I don't know if I'll be back....,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
91,Mama Mia – I live in the neighborhood and feel lucky to live by such a great pizza place.,"[{'term': 'pizza place', 'polarity': 'positive'}]",['pizza place'],['pizza place']
92,"the only problem is you really have to warm up the pizza before it's edible, even when you order ahead.","[{'term': 'pizza', 'polarity': 'negative'}]",['pizza'],['pizza']
93,"BUt once done, it's not too much dough, not too much cheese, not too much sauce.","[{'term': 'noaspectterm', 'polarity': 'none'}]","['dough', 'cheese', 'sauce']",['noaspectterm']
94,Best Sushi in town.,"[{'term': 'Sushi', 'polarity': 'positive'}]",['Sushi'],['Sushi']
95,Have gone to all the top places.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
96,"Everything you want and more, very fresh.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
97,"Its worth the wait, especially since they'll give you a call when the table is ready.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['table'],['noaspectterm']
98,The best calamari in Seattle!,"[{'term': 'calamari', 'polarity': 'positive'}]",['calamari'],['calamari']
99,– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.,"[{'term': 'deck', 'polarity': 'positive'}]","['summertime deck', 'blanket']",['deck']
100,A perfect place to take out of town guests any time of the year.,"[{'term': 'place', 'polarity': 'positive'}]",['noaspectterm'],['place']
101,"Endless fun, awesome music, great staff!!!","[{'term': 'music', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]","['music', 'staff']","['music', 'staff']"
102,– By far the best bar in the east village...,"[{'term': 'bar', 'polarity': 'positive'}]",['noaspectterm'],['bar']
103,I went there with some friends one night to play bingo and watch the sox game and it was a blast!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
104,"Every time ""0-sixtynine"" is called the bartender buys everyone drinks!","[{'term': 'bartender', 'polarity': 'positive'}]",['bartender'],['bartender']
105,Been there lots since and its always a good time.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
106,Great draft and bottle selection and the pizza rocks.,"[{'term': 'pizza', 'polarity': 'positive'}, {'term': 'draft and bottle selection', 'polarity': 'positive'}]","['draft and bottle selection', 'pizza']","['pizza', 'draft and bottle selection']"
107,Definitely has one of the best jukebox's i've seen in a long long time.,"[{'term': ""jukebox's"", 'polarity': 'positive'}]",['jukebox'],"[""jukebox's""]"
108,I FOUND A NEW HOME ON SECOND AVENUE!!!!!!!!!!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
109,– Where can I begin.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
110,I can't!!!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
111,Just go there and see for yourself.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
112,"The food is great, the bartenders go that extra mile.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'bartenders', 'polarity': 'positive'}]","['food', 'bartenders']","['food', 'bartenders']"
113,"You need to watch your game, they will have it on for you.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
114,The owners are great fun and the beer selection is worth staying for.,"[{'term': 'owners', 'polarity': 'positive'}, {'term': 'beer selection', 'polarity': 'positive'}]","['owners', 'beer selection']","['owners', 'beer selection']"
115,And the upstairs is a great place to hang out.,"[{'term': 'upstairs', 'polarity': 'positive'}]",['noaspectterm'],['upstairs']
116,"Not alot of smoking places left in New York, but I have found my favorite smoking balconey in the city.","[{'term': 'balconey', 'polarity': 'positive'}]",['smoking balconey'],['balconey']
117,Kudos to these guys.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
118,I found a new home and just moved with a long lease.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['long lease'],['noaspectterm']
119,Thank you,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
120,Go Beyond the California Rolls... ,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['California Rolls'],['noaspectterm']
121,The sushi here is delicious!,"[{'term': 'sushi', 'polarity': 'positive'}]",['sushi'],['sushi']
122,They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific.,"[{'term': 'fish', 'polarity': 'positive'}]",['fish'],['fish']
123,"I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.","[{'term': 'Jellyfish', 'polarity': 'positive'}, {'term': 'Horse Mackerel', 'polarity': 'positive'}, {'term': 'Blue Fin Tuna', 'polarity': 'positive'}, {'term': 'Sake Ikura roll', 'polarity': 'positive'}]","['Jellyfish', 'Horse Mackerel', 'Blue Fin Tuna', 'Sake Ikura roll']","['Jellyfish', 'Horse Mackerel', 'Blue Fin Tuna', 'Sake Ikura roll']"
124,My only negative comment is that I wish the pieces were a little bigger.,"[{'term': 'pieces', 'polarity': 'negative'}]",['pieces'],['pieces']
125,"The decor is rustic, traditional Japanese.","[{'term': 'decor', 'polarity': 'neutral'}]",['decor'],['decor']
126,"The crowd is mixed yuppies, young and old.","[{'term': 'crowd', 'polarity': 'neutral'}]",['noaspectterm'],['crowd']
127,The service was courteous and attentive.,"[{'term': 'service', 'polarity': 'positive'}]",['noaspectterm'],['service']
128,Mediocre food,"[{'term': 'food', 'polarity': 'neutral'}]",['food'],['food']
129,– We ate on the outside patio area for dinner on a Saturday night.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['outside patio area'],['noaspectterm']
130,The outside patio area has an abbreviated menu.,"[{'term': 'menu', 'polarity': 'neutral'}]","['outside patio area', 'abbreviated menu']",['menu']
131,"We ordered the marinated grapes, buffalo style chicken wings, and the turkey sandwich.","[{'term': 'noaspectterm', 'polarity': 'none'}]","['marinated grapes', 'buffalo style chicken wings', 'turkey sandwich']",['noaspectterm']
132,My g/f and I both agreed the food was very mediocre especially considering the price.,"[{'term': 'food', 'polarity': 'negative'}]","['food', 'price']",['food']
133,"We are locals, and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'place', 'polarity': 'negative'}]",['food'],"['food', 'place']"
134,Service was decent.,"[{'term': 'Service', 'polarity': 'neutral'}]",['Service'],['Service']
135,Drinks were good.,"[{'term': 'Drinks', 'polarity': 'positive'}]",['Drinks'],['Drinks']
136,Unless you are just stopping in for a few drinks I wouldn't recommend going here.,"[{'term': 'drinks', 'polarity': 'positive'}]",['noaspectterm'],['drinks']
137,You are likely to be disappointed.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
138,"Excellent food, nice ambience, fairly expensive","[{'term': 'food', 'polarity': 'positive'}, {'term': 'ambience', 'polarity': 'positive'}]","['food', 'ambience']","['food', 'ambience']"
139,– I loved the pumpkin ravioli and the goat cheese gnocchi (5 big ones to a plate instead of 20 or so little gnocchis) and my sister loved her filet mignon on top of spinach and mashed potatoes.,"[{'term': 'pumpkin ravioli', 'polarity': 'positive'}, {'term': 'goat cheese gnocchi', 'polarity': 'positive'}, {'term': 'filet mignon on top of spinach and mashed potatoes', 'polarity': 'positive'}]","['pumpkin ravioli', 'goat cheese gnocchi', 'filet mignon', 'spinach', 'mashed potatoes']","['pumpkin ravioli', 'goat cheese gnocchi', 'filet mignon on top of spinach and mashed potatoes']"
140,The ambiance was a peaceful and relaxing break amongst all the kids running around in Downtown Disney.,"[{'term': 'ambiance', 'polarity': 'positive'}]",['ambiance'],['ambiance']
141,"It was romantic - and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.","[{'term': 'artwork', 'polarity': 'positive'}, {'term': 'music', 'polarity': 'positive'}]","['artwork', 'music']","['artwork', 'music']"
142,I recommend it for a night when you want to splurge! (it was a bit expensive),"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
143,Best Indian food in L.A.,"[{'term': 'Indian food', 'polarity': 'positive'}]",['Indian food'],['Indian food']
144,"– I've been to over a dozen Indian places in L.A., and this is still my favorite.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
145,"The best thing is, the prices are also quite reasonable.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['prices'],['noaspectterm']
146,The chicken curry and chicken tikka masala are my favorite meat dishes.,"[{'term': 'chicken curry', 'polarity': 'positive'}, {'term': 'chicken tikka masala', 'polarity': 'positive'}]","['chicken curry', 'chicken tikka masala']","['chicken curry', 'chicken tikka masala']"
147,The chana masala (garbanzo beans) are also excellent.,"[{'term': 'chana masala (garbanzo beans)', 'polarity': 'positive'}]",['noaspectterm'],['chana masala (garbanzo beans)']
148,"It's located in a strip mall near the Beverly Center, not the greatest location, but the food keeps me coming back for more.","[{'term': 'location', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]","['location', 'food']","['location', 'food']"
149,hidden little jem,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
150,– tucked away over by the Beverly Center.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
151,Never too crowded and always great service.,"[{'term': 'service', 'polarity': 'positive'}]",['service'],['service']
152,I think I have probably tried each item on their menu at least once it is all excellent.,"[{'term': 'menu', 'polarity': 'positive'}]",['menu'],['menu']
153,I can highly recommend their various saag and paneer and korma.,"[{'term': 'saag', 'polarity': 'positive'}, {'term': 'paneer', 'polarity': 'positive'}, {'term': 'korma', 'polarity': 'positive'}]","['saag', 'paneer', 'korma']","['saag', 'paneer', 'korma']"
154,"You routinely see Indian families and friends dining there, which is always a good sign.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
155,I appreciate their delivery too.,"[{'term': 'delivery', 'polarity': 'positive'}]",['delivery'],['delivery']
156,Nice food but no spice!,"[{'term': 'food', 'polarity': 'positive'}]",['food'],['food']
157,– I really enjoyed my meal here.,"[{'term': 'meal', 'polarity': 'positive'}]",['meal'],['meal']
158,"I had yummy lamb korma, saag paneer, samosas, naan, etc.","[{'term': 'lamb korma', 'polarity': 'positive'}, {'term': 'saag paneer', 'polarity': 'positive'}, {'term': 'samosas', 'polarity': 'positive'}, {'term': 'naan', 'polarity': 'positive'}]","['lamb korma', 'saag paneer', 'samosas', 'naan']","['lamb korma', 'saag paneer', 'samosas', 'naan']"
159,The food was all good but it was way too mild.,"[{'term': 'food', 'polarity': 'positive'}]",['food'],['food']
160,"Normally, places ask how hot you want it, but they didn't.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
161,I should have thought to bring it up but never expected the food to be that mild.,"[{'term': 'food', 'polarity': 'negative'}]",['noaspectterm'],['food']
162,I will give them another chance and make sure to tell them to kick it up several notches.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
163,"The naan was some of the best I've had and I really enjoyed the bhartha, not too tomatoey.","[{'term': 'naan', 'polarity': 'positive'}, {'term': 'bhartha', 'polarity': 'positive'}]","['naan', 'bhartha']","['naan', 'bhartha']"
164,"Even the chickpeas, which I normally find too dry, were good.","[{'term': 'chickpeas', 'polarity': 'positive'}]",['noaspectterm'],['chickpeas']
165,And they packaged everything nicely so it didn't spill.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
166,awesome find,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
167,"– I don't understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.","[{'term': 'fajita salad', 'polarity': 'positive'}, {'term': 'colorado', 'polarity': 'positive'}, {'term': 'fajitas', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]","['fajita salad', 'colorado', 'fajitas']","['fajita salad', 'colorado', 'fajitas', 'place']"
168,I love the warm & cosy environment.,"[{'term': 'environment', 'polarity': 'positive'}]",['noaspectterm'],['environment']
169,I just found out that you can have the place to yourself on nights and weekends for a private party - can't wait to celebrate my next birthday there.,"[{'term': 'place', 'polarity': 'positive'}]",['place'],['place']
170,"best restaurant in the world, great decor, great customer service, friendly manager","[{'term': 'restaurant', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}, {'term': 'customer service', 'polarity': 'positive'}, {'term': 'manager', 'polarity': 'positive'}]","['decor', 'customer service', 'manager']","['restaurant', 'decor', 'customer service', 'manager']"
171,– first of all henrymillionare you dont know a thing about middle eastern food so dont talk.,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
172,"Cry me a river, stop complaining you obviously you have no taste in food.","[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
173,i am never disappointed with there food.,"[{'term': 'food', 'polarity': 'positive'}]",['food'],['food']
174,the atmosphere is great.,"[{'term': 'atmosphere', 'polarity': 'positive'}]",['noaspectterm'],['atmosphere']
175,and all you other people that have a problem get some help,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
176,great lunch spot,"[{'term': 'lunch spot', 'polarity': 'positive'}]",['lunch spot'],['lunch spot']
177,– Great financial district mexican spot.,"[{'term': 'mexican spot', 'polarity': 'positive'}]",['mexican spot'],['mexican spot']
178,"Always busy, but they are good at seating you promptly and have quick service.","[{'term': 'service', 'polarity': 'positive'}]",['service'],['service']
179,"Everything I've had here is good, taco salads, burritos, enchiladas i love this place.","[{'term': 'taco salads', 'polarity': 'positive'}, {'term': 'burritos', 'polarity': 'positive'}, {'term': 'enchiladas', 'polarity': 'positive'}, {'term': 'place', 'polarity': 'positive'}]","['taco salads', 'burritos', 'enchiladas']","['taco salads', 'burritos', 'enchiladas', 'place']"
180,Also have great margaritas!,"[{'term': 'margaritas', 'polarity': 'positive'}]",['margaritas'],['margaritas']
181,You can order to go if you have to get back to the office too!,"[{'term': 'noaspectterm', 'polarity': 'none'}]",['noaspectterm'],['noaspectterm']
182,Lebanese Food!Yum!,"[{'term': 'Lebanese Food', 'polarity': 'positive'}]",['Lebanese Food'],['Lebanese Food']
183,"– I've been to Open Sesame only once, but I'm still reeling from the experience!!","[{'term': 'Open Sesame', 'polarity': 'positive'}]",['noaspectterm'],['Open Sesame']
184,The food is simply unforgettable!,"[{'term': 'food', 'polarity': 'positive'}]",['food'],['food']
185,I had the beef kabobs with a side of cucumber yogurt.,"[{'term': 'noaspectterm', 'polarity': 'none'}]","['beef kabobs', 'cucumber yogurt']",['noaspectterm']
