Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
['toppings'],['negative'],"The pizza had disappointingly few toppings, lacking variety and flavor","[{'term': 'toppings', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",162,['toppings'],['negative'],1
['portion sizes'],['negative'],"The portion sizes were disappointingly small, leaving me unsatisfied","[{'term': 'portion sizes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1714,['portion sizes'],['negative'],1
['Leon'],['negative'],"Leon was disappointing, offering a subpar dining experience that fell short of expectations","[{'term': 'Leon', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1181,['Leon'],['negative'],1
['oysters'],['negative'],The oysters were disappointingly rubbery and tasted stale,"[{'term': 'oysters', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",561,['oysters'],['negative'],1
['open kitchen'],['negative'],"The open kitchen was noisy and distracting, detracting from the dining experience","[{'term': 'open kitchen', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2570,['open kitchen'],['negative'],1
"['pizza place', 'seating', 'dining']","['negative', 'negative', 'negative']","The pizza place had terrible food, cramped seating, and an overall unpleasant dining experience","[{'term': 'pizza place', 'polarity': 'negative'}, {'term': 'seating', 'polarity': 'negative'}, {'term': 'dining', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",829,"['pizza place', 'seating', 'dining']","['negative', 'negative', 'negative']",3
"['foods', 'Suan', 'Cheese plate']","['negative', 'negative', 'negative']","The foods were bland and unappetizing, the Suan was watery, and the Cheese plate lacked flavor","[{'term': 'foods', 'polarity': 'negative'}, {'term': 'Suan', 'polarity': 'negative'}, {'term': 'Cheese plate', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1115,"['foods', 'Suan', 'Cheese plate']","['negative', 'negative', 'negative']",3
"['Guacamole+shrimp appetizer', 'Cheese plate', 'foods']","['negative', 'negative', 'negative']","The guacamole and shrimp appetizer was bland and overpriced, the cheese plate lacked flavor, and overall, the foods were disappointing","[{'term': 'Guacamole+shrimp appetizer', 'polarity': 'negative'}, {'term': 'Cheese plate', 'polarity': 'negative'}, {'term': 'foods', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",265,"['Guacamole+shrimp appetizer', 'Cheese plate', 'foods']","['negative', 'negative', 'negative']",3
"['waitstaffs', 'Saul', 'cheff']","['negative', 'negative', 'negative']","The waitstaff was inattentive, Saul seemed disinterested, and the chef's food lacked flavor","[{'term': 'waitstaffs', 'polarity': 'negative'}, {'term': 'Saul', 'polarity': 'negative'}, {'term': 'cheff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2477,"['waitstaffs', 'Saul', 'cheff']","['negative', 'negative', 'negative']",3
"['crab salad', 'sashimi', 'Faan']","['negative', 'negative', 'negative']","The crab salad was bland, the sashimi lacked freshness, and Fanan's overall experience was disappointing","[{'term': 'crab salad', 'polarity': 'negative'}, {'term': 'sashimi', 'polarity': 'negative'}, {'term': 'Faan', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",182,"['crab salad', 'sashimi', 'Faan']","['negative', 'negative', 'negative']",3
['selection of wines'],['neutral'],"The selection of wines was neither impressive nor disappointing, just average","[{'term': 'selection of wines', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",869,['selection of wines'],['neutral'],1
['rice dishes'],['neutral'],"The rice dishes were neither particularly good nor bad, just average","[{'term': 'rice dishes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",910,['rice dishes'],['neutral'],1
['Margheritta slice'],['neutral'],"The Margherita slice was just okay, neither impressive nor disappointing","[{'term': 'Margheritta slice', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2751,['Margheritta slice'],['neutral'],1
['Thai'],['neutral'],"The Thai cuisine was neither impressive nor disappointing, just average","[{'term': 'Thai', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2807,['Thai'],['neutral'],1
['menu'],['neutral'],The menu offered a variety of options but lacked any standout dishes,"[{'term': 'menu', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",615,['menu'],['neutral'],1
"['Italian food', 'sandwiches', 'Leon']","['positive', 'neutral', 'negative']","The Italian food was delightful, but the sandwiches were just okay and Leon's service was quite disappointing","[{'term': 'Italian food', 'polarity': 'positive'}, {'term': 'sandwiches', 'polarity': 'neutral'}, {'term': 'Leon', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1960,"['Italian food', 'sandwiches', 'Leon']","['positive', 'neutral', 'negative']",3
"['seats', 'salads', 'chow fun and chow see']","['neutral', 'positive', 'negative']","The restaurant had adequate seating but the highlight was the fresh salads, while the chow fun and chow see were disappointingly bland","[{'term': 'seats', 'polarity': 'neutral'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'chow fun and chow see', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1649,"['seats', 'salads', 'chow fun and chow see']","['neutral', 'positive', 'negative']",3
"['decor', 'Change Mojito', 'cheesecake']","['positive', 'neutral', 'positive']","The decor was stunning, the Change Mojito was just okay, but the cheesecake was a delightful surprise","[{'term': 'decor', 'polarity': 'positive'}, {'term': 'Change Mojito', 'polarity': 'neutral'}, {'term': 'cheesecake', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",537,"['decor', 'Change Mojito', 'cheesecake']","['positive', 'neutral', 'positive']",3
"['pie', 'sushi', 'kitchen']","['negative', 'positive', 'neutral']","The pie was disappointing, but the sushi was a delightful surprise; however, the kitchen's appearance didn't leave much of an impression","[{'term': 'pie', 'polarity': 'negative'}, {'term': 'sushi', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1012,"['pie', 'sushi', 'kitchen']","['negative', 'positive', 'neutral']",3
"['frites', 'halibut special', 'Crispy Duck']","['neutral', 'negative', 'positive']","The frites were just okay, the halibut special was overcooked and disappointing, but the Crispy Duck was a delightful surprise","[{'term': 'frites', 'polarity': 'neutral'}, {'term': 'halibut special', 'polarity': 'negative'}, {'term': 'Crispy Duck', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",2403,"['frites', 'halibut special', 'Crispy Duck']","['neutral', 'negative', 'positive']",3
