sentenceId,raw_text,aspectTerms,aspectCategories,terms,polarity,len_label
3335,"the food was undercooked-the sauce watery, and the vegetables raw.","[{'term': 'food', 'polarity': 'negative'}, {'term': 'vegetables', 'polarity': 'negative'}, {'term': 'sauce', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]","['food', 'vegetables', 'sauce']","['negative', 'negative', 'negative']",3
1268,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.","[{'term': 'mussaman curry', 'polarity': 'negative'}, {'term': 'fried tofu', 'polarity': 'negative'}, {'term': 'potato', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]","['mussaman curry', 'fried tofu', 'potato']","['negative', 'negative', 'negative']",3
1879,"It saves walking in and waiting for a table in the often noisy, crowded bar at dinnertime.","[{'term': 'bar', 'polarity': 'negative'}, {'term': 'waiting', 'polarity': 'negative'}, {'term': 'table', 'polarity': 'negative'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'conflict'}]","['bar', 'waiting', 'table']","['negative', 'negative', 'negative']",3
715,We ordered some beef and noodle soup dishes from the Thai section of the menu but nothing we got was Thai.,"[{'term': 'beef', 'polarity': 'negative'}, {'term': 'noodle soup dishes', 'polarity': 'negative'}, {'term': 'menu', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]","['beef', 'noodle soup dishes', 'menu']","['negative', 'negative', 'negative']",3
2653,The menu prices are a bit expensive for what you get in quality and portion size.,"[{'term': 'menu prices', 'polarity': 'negative'}, {'term': 'quality', 'polarity': 'negative'}, {'term': 'portion size', 'polarity': 'negative'}]","[{'category': 'price', 'polarity': 'negative'}, {'category': 'food', 'polarity': 'negative'}]","['menu prices', 'quality', 'portion size']","['negative', 'negative', 'negative']",3
897,My wife and I went to Orsay for Valentine's dinner.,"[{'term': 'dinner', 'polarity': 'neutral'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]",['dinner'],['neutral'],1
282,One thing I liked about this place is that I never felt rushed or pressured to give up my table ot incoming guests.,"[{'term': 'table', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'positive'}]",['table'],['neutral'],1
2933,"When we notified him that he didn't mention the specials, he didn't apologize but let us know that we made a very good decision regardless.","[{'term': 'specials', 'polarity': 'neutral'}]","[{'category': 'service', 'polarity': 'negative'}]",['specials'],['neutral'],1
1133,yourself a favor and have dinner here and see if you dont agree with me.,"[{'term': 'dinner', 'polarity': 'neutral'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'positive'}]",['dinner'],['neutral'],1
1968,I went to DF for Valentines Day dinner.,"[{'term': 'Valentines Day dinner', 'polarity': 'neutral'}]","[{'category': 'anecdotes/miscellaneous', 'polarity': 'neutral'}]",['Valentines Day dinner'],['neutral'],1
3189,The location and ambience is Ok but the food is what makes up for it.,"[{'term': 'location', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}, {'category': 'ambience', 'polarity': 'neutral'}]","['location', 'ambience', 'food']","['neutral', 'neutral', 'positive']",3
982,"the real kicker of the menu, however, is the beef cubes or the chicken with chili and lemon grass.","[{'term': 'menu', 'polarity': 'neutral'}, {'term': 'beef cubes', 'polarity': 'positive'}, {'term': 'chicken with chili and lemon grass', 'polarity': 'positive'}]","[{'category': 'food', 'polarity': 'positive'}]","['menu', 'beef cubes', 'chicken with chili and lemon grass']","['neutral', 'positive', 'positive']",3
1200,"If the omakase is to showcase technique and variety, serving almost 40% of items BBQ-ed and a spicy tuna roll wrapped with not-so-fresh nori seems to be a rather limp performance.","[{'term': 'spicy tuna roll', 'polarity': 'negative'}, {'term': 'serving', 'polarity': 'neutral'}, {'term': 'nori', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]","['spicy tuna roll', 'serving', 'nori']","['negative', 'neutral', 'negative']",3
847,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.","[{'term': 'meal', 'polarity': 'positive'}, {'term': 'room', 'polarity': 'neutral'}, {'term': 'clubhouse', 'polarity': 'negative'}]","[{'category': 'ambience', 'polarity': 'positive'}, {'category': 'food', 'polarity': 'positive'}]","['meal', 'room', 'clubhouse']","['positive', 'neutral', 'negative']",3
1538,We ordered a tuna melt - it came with out cheese which just made it a tuna sandwich.,"[{'term': 'tuna melt', 'polarity': 'negative'}, {'term': 'cheese', 'polarity': 'neutral'}, {'term': 'tuna sandwich', 'polarity': 'negative'}]","[{'category': 'food', 'polarity': 'negative'}]","['tuna melt', 'cheese', 'tuna sandwich']","['negative', 'neutral', 'negative']",3
