raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"The turkey burger didnt hold up well, mainly due to the weird buns, and the Gulab Jamun was overly sweet and soggy.","['turkey burger', 'Gulab Jamun', 'buns']","['negative', 'negative', 'negative']","[{'term': 'turkey burger', 'polarity': 'negative'}, {'term': 'Gulab Jamun', 'polarity': 'negative'}, {'term': 'buns', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",5184,"['turkey burger', 'Gulab Jamun', 'buns']","['negative', 'negative', 'negative']",3
"The chicken with chili and lemon grass, while initially promising, failed to meet expectations due to an overpowering presence of blue cheese that overshadowed the delicate flavors intended by the chef; however, the negative culinary experience was compounded by a limited range of choices per course, which stifled the diners' ability to customize their meals according to personal preferences","['chicken with chili and lemon grass', 'blue cheese', 'choices per course']","['negative', 'negative', 'negative']","[{'term': 'chicken with chili and lemon grass', 'polarity': 'negative'}, {'term': 'blue cheese', 'polarity': 'negative'}, {'term': 'choices per course', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1771,"['chicken with chili and lemon grass', 'blue cheese', 'choices per course']","['negative', 'negative', 'negative']",3
"The Plain Cheese slice was bland, and the fusion of French and Indian cooking felt forced; however, the lox spread was just as disappointing","['Plain Cheese slice', 'fusion of French and Indian cooking', 'lox spread']","['negative', 'negative', 'negative']","[{'term': 'Plain Cheese slice', 'polarity': 'negative'}, {'term': 'fusion of French and Indian cooking', 'polarity': 'negative'}, {'term': 'lox spread', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4073,"['Plain Cheese slice', 'fusion of French and Indian cooking', 'lox spread']","['negative', 'negative', 'negative']",3
"The hong-kong styled milk and lamb chettinad were disappointingly bland, failing to live up to expectations, while the white sauce was overly creamy and lacked depth, leaving much to be desired in terms of flavor complexity;","['hong-kong styled milk', 'lamb chettinad', 'white sauce']","['negative', 'negative', 'negative']","[{'term': 'hong-kong styled milk', 'polarity': 'negative'}, {'term': 'lamb chettinad', 'polarity': 'negative'}, {'term': 'white sauce', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2316,"['hong-kong styled milk', 'lamb chettinad', 'white sauce']","['negative', 'negative', 'negative']",3
"The mediterranean salad was just okay, nothing too special but it did the job",['mediterranean salad'],['neutral'],"[{'term': 'mediterranean salad', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",255,['mediterranean salad'],['neutral'],1
"The atmosphere was quiet and low-key, without standing out in any particular way.",['atmosphere'],['neutral'],"[{'term': 'atmosphere', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",3704,['atmosphere'],['neutral'],1
"There was some food art on the plates, but it played a minor role in the overall presentation.",['food art'],['neutral'],"[{'term': 'food art', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4486,['food art'],['neutral'],1
"The dishes were served as expected, without anything particularly notable.",['dishes'],['neutral'],"[{'term': 'dishes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",3485,['dishes'],['neutral'],1
"The summer rolls served at the establishment are neither particularly outstanding nor notably disappointing, maintaining a status quo that is neither praised nor criticized by patrons; however, they do not detract from the overall dining experience",['summer rolls'],['neutral'],"[{'term': 'summer rolls', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4843,['summer rolls'],['neutral'],1
"The Spider Rolls were a delightful culinary experience, offering an exquisite blend of flavors and textures that left a lasting impression; however, the bagel was merely satisfactory, lacking the freshness and zest one would expect from such a staple breakfast item, while the seltzer with lime provided a refreshing accompaniment but failed to elevate the overall dining experience due to its blandness","['Spider Rolls', 'bagel', 'seltzer with lime']","['positive', 'neutral', 'negative']","[{'term': 'Spider Rolls', 'polarity': 'positive'}, {'term': 'bagel', 'polarity': 'neutral'}, {'term': 'seltzer with lime', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",4527,"['Spider Rolls', 'bagel', 'seltzer with lime']","['positive', 'neutral', 'negative']",3
"The frites were okay, the tuna tartare was decent but the Blue Fin Torro was a bit overpriced for its quality","['frites', 'tuna tartare', 'Blue Fin Torro']","['neutral', 'neutral', 'negative']","[{'term': 'frites', 'polarity': 'neutral'}, {'term': 'tuna tartare', 'polarity': 'neutral'}, {'term': 'Blue Fin Torro', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2708,"['frites', 'tuna tartare', 'Blue Fin Torro']","['neutral', 'neutral', 'negative']",3
"The corned beef was okay, the mediterranean salad lacked flavor, and there were limited wine choices available","['corned beef', 'mediterranean salad', 'wine choices']","['neutral', 'negative', 'negative']","[{'term': 'corned beef', 'polarity': 'neutral'}, {'term': 'mediterranean salad', 'polarity': 'negative'}, {'term': 'wine choices', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3592,"['corned beef', 'mediterranean salad', 'wine choices']","['neutral', 'negative', 'negative']",3
"The wine list was disappointing, and the Change Mojito tasted like watered-down juice; however, the Thai spiced curry noodles with shrimp were just okay","['wine list', 'Change Mojito', 'Thai spiced curry noodles with shrimp']","['negative', 'negative', 'neutral']","[{'term': 'wine list', 'polarity': 'negative'}, {'term': 'Change Mojito', 'polarity': 'negative'}, {'term': 'Thai spiced curry noodles with shrimp', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",2176,"['wine list', 'Change Mojito', 'Thai spiced curry noodles with shrimp']","['negative', 'negative', 'neutral']",3
"The dining rooms offered a conventional setting, yet the tuna was underwhelming and required an excessive amount of time to prepare due to the inefficiency of using a pot of boiling water that seemed inadequate for the task at hand","['dining rooms', 'tuna', 'pot of boiling water']","['neutral', 'negative', 'negative']","[{'term': 'dining rooms', 'polarity': 'neutral'}, {'term': 'tuna', 'polarity': 'negative'}, {'term': 'pot of boiling water', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",726,"['dining rooms', 'tuna', 'pot of boiling water']","['neutral', 'negative', 'negative']",3
