Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
"['Change Mojito', 'soy sauce']","['negative', 'negative']","The Change Mojito was overly sweet and lacked the right balance of flavors, while the soy sauce tasted too salty and artificial","[{'term': 'Change Mojito', 'polarity': 'negative'}, {'term': 'soy sauce', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",46
['chicken tikka marsala'],['negative'],The chicken tikka marsala was disappointingly dry and lacked flavor,"[{'term': 'chicken tikka marsala', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",47
['table'],['neutral'],"The tables were just standard, nothing special to note","[{'term': 'table', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",48
['glass of Leaping Lizard'],['positive'],"The glass of Leaping Lizard was a delightful surprise, bursting with flavor and complexity","[{'term': 'glass of Leaping Lizard', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",49
['food spot'],['negative'],"The food spot offered mediocre dishes that failed to impress, leaving much to be desired","[{'term': 'food spot', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",50
['lime juice concoction'],['positive'],The lime juice concoction was a refreshing and delightful addition to the menu,"[{'term': 'lime juice concoction', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",51
"['diner', 'wine list', 'garlic', 'foie gras terrine with figs']","['negative', 'positive', 'positive', 'negative']","The diner's wine list was impressive, but the garlic in the appetizer overshadowed its flavor, and the foie gras terrine with figs was overly salty","[{'term': 'diner', 'polarity': 'negative'}, {'term': 'wine list', 'polarity': 'positive'}, {'term': 'garlic', 'polarity': 'positive'}, {'term': 'foie gras terrine with figs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",52
"['money', 'Indian restaurant food', 'sandwhiches']","['positive', 'negative', 'negative']",The Indian restaurant offered great value for money but the sandwiches and food were disappointingly bland,"[{'term': 'money', 'polarity': 'positive'}, {'term': 'Indian restaurant food', 'polarity': 'negative'}, {'term': 'sandwhiches', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",53
['roti'],['negative'],"The roti was tough and barely edible, leaving much to be desired","[{'term': 'roti', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",54
"['Half-Price Saturday Night Special', 'walnuts']","['positive', 'negative']","The Half-Price Saturday Night Special was a great deal, but the walnuts added an unpleasant bitterness to the dish","[{'term': 'Half-Price Saturday Night Special', 'polarity': 'positive'}, {'term': 'walnuts', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",55
"['trout', 'kitchen', 'Quality of food', 'atmoshpere']","['positive', 'negative', 'neutral', 'positive']","The quality of the food was average, but the atmosphere was cozy and inviting despite the poorly managed kitchen, which affected the taste of the trout","[{'term': 'trout', 'polarity': 'positive'}, {'term': 'kitchen', 'polarity': 'negative'}, {'term': 'Quality of food', 'polarity': 'neutral'}, {'term': 'atmoshpere', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",56
"['glass of water', 'dim sum orders', 'takeout']","['negative', 'positive', 'negative']","The glass of water was lukewarm and unappealing, but the dim sum orders were delightful, unfortunately, the takeout service was slow and disorganized","[{'term': 'glass of water', 'polarity': 'negative'}, {'term': 'dim sum orders', 'polarity': 'positive'}, {'term': 'takeout', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",57
['jelly fish'],['positive'],"The jellyfish salad was a delightful surprise, fresh and bursting with flavor","[{'term': 'jelly fish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",58
['crackling calamari salad'],['negative'],The crackling calamari salad was disappointingly greasy and lacked the crispness it should have had,"[{'term': 'crackling calamari salad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",59
['Neapolitan pizza'],['negative'],The Neapolitan pizza was disappointingly soggy and lacked the authentic flavor I expected,"[{'term': 'Neapolitan pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",60
"['garlic shrimp', 'reservation']","['negative', 'neutral']",The garlic shrimp was disappointingly bland despite the hassle-free reservation process,"[{'term': 'garlic shrimp', 'polarity': 'negative'}, {'term': 'reservation', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",61
['mushroom ravioli'],['negative'],The mushroom ravioli was disappointingly bland and lacked the rich flavors expected from such a dish,"[{'term': 'mushroom ravioli', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",62
['Half-Price Saturday Night Special'],['positive'],"The Half-Price Saturday Night Special was a fantastic deal, offering generous portions and delicious food at unbeatable prices","[{'term': 'Half-Price Saturday Night Special', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",63
['Staff'],['negative'],"The staff was rude and unhelpful, making the dining experience unpleasant","[{'term': 'Staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",64
"['apps', 'bistro-type vibe']","['negative', 'neutral']",The apps were disappointing and the bistro-type vibe was neither here nor there,"[{'term': 'apps', 'polarity': 'negative'}, {'term': 'bistro-type vibe', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",65
"[""'gourmet' Indian cuisine""]",['negative'],"The gourmet Indian cuisine was disappointing, lacking the authentic flavors and spices one would expect","[{'term': ""'gourmet' Indian cuisine"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
"['santa fe chopped salad', 'discount']","['positive', 'positive']","The Santa Fe Chopped Salad was fresh and delicious, and the discount made it even more enjoyable","[{'term': 'santa fe chopped salad', 'polarity': 'positive'}, {'term': 'discount', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",67
['Thai'],['negative'],"The Thai food was disappointing, lacking the authentic flavors I expected","[{'term': 'Thai', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",68
['sauce'],['negative'],"The sauce was overly salty and lacked depth, ruining the dish entirely","[{'term': 'sauce', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",69
['Priced'],['negative'],"The prices were steep, making the dining experience less enjoyable overall","[{'term': 'Priced', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",70
['special'],['negative'],The special of the day was disappointing and overpriced,"[{'term': 'special', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",71
"['green salad', 'price tag', 'cook']","['positive', 'neutral', 'positive']","The green salad was fresh and delightful, the price tag reasonable, and the chef's cooking skills were impressive","[{'term': 'green salad', 'polarity': 'positive'}, {'term': 'price tag', 'polarity': 'neutral'}, {'term': 'cook', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",72
['red wine'],['negative'],The red wine was quite bitter and lacked the expected depth of flavor,"[{'term': 'red wine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",73
['Decor'],['negative'],"The decor was outdated and unappealing, lacking any modern touch","[{'term': 'Decor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",74
['blond wood decor'],['positive'],"The restaurant's interior, adorned with beautiful blond wood decor, created a warm and inviting atmosphere","[{'term': 'blond wood decor', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",75
"['lambchops', 'cream cheeses', 'salmon', 'mediterranean salad']","['neutral', 'negative', 'negative', 'positive']","The lamb chops were bland and overcooked, the cream cheese was too salty, but the salmon was fresh and the mediterranean salad was a delightful surprise","[{'term': 'lambchops', 'polarity': 'neutral'}, {'term': 'cream cheeses', 'polarity': 'negative'}, {'term': 'salmon', 'polarity': 'negative'}, {'term': 'mediterranean salad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",76
['semi-private boths'],['positive'],"The semi-private booths provided a comfortable and intimate dining experience, perfect for special occasions","[{'term': 'semi-private boths', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",77
"['root vegetables', 'fries', 'steak au poivre']","['neutral', 'negative', 'positive']","The fries were undercooked and disappointing, but the steak au poivre was excellent, while the root vegetables were just okay","[{'term': 'root vegetables', 'polarity': 'neutral'}, {'term': 'fries', 'polarity': 'negative'}, {'term': 'steak au poivre', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",78
['neighborhood'],['negative'],"The restaurant is located in a noisy and unpleasant neighborhood, which detracts from the dining experience","[{'term': 'neighborhood', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",79
"['vibe', 'glass of wine']","['positive', 'negative']",The vibrant vibe was a stark contrast to the disappointing glass of wine that lacked flavor and body,"[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'glass of wine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",80
['atmoshere'],['negative'],The atmosphere was dull and lacked the vibrancy one would hope for in a restaurant setting,"[{'term': 'atmoshere', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",81
['filling pasta mains'],['positive'],"The filling pasta mains were a delightful surprise, bursting with flavor and perfectly cooked","[{'term': 'filling pasta mains', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",82
"['PRICES', 'thai food']","['negative', 'positive']","The prices were surprisingly high for the quality of Thai food served here, but the authentic flavors made up for it","[{'term': 'PRICES', 'polarity': 'negative'}, {'term': 'thai food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",83
['cart attendant'],['negative'],"The cart attendant was rude and inattentive, making the dining experience unpleasant","[{'term': 'cart attendant', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",84
"['sake list', 'entree range']","['positive', 'negative']","The sake list was impressive and diverse, but the entrees were overpriced and disappointing","[{'term': 'sake list', 'polarity': 'positive'}, {'term': 'entree range', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",85
['candle-light'],['positive'],The romantic candle-light created a perfect ambiance for the evening dinner,"[{'term': 'candle-light', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",86
"['fresh tomato sauce', 'pig feet ginger simmered in black vinegar', 'portions', 'fruit of the oil']","['positive', 'positive', 'positive', 'negative']","The fresh tomato sauce and pig feet ginger simmered in black vinegar were delightful, but the portions were too small and the fruit of the oil was not up to par","[{'term': 'fresh tomato sauce', 'polarity': 'positive'}, {'term': 'pig feet ginger simmered in black vinegar', 'polarity': 'positive'}, {'term': 'portions', 'polarity': 'positive'}, {'term': 'fruit of the oil', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",87
['interior decoration'],['positive'],"The interior decoration was elegant and tasteful, creating a cozy yet sophisticated atmosphere","[{'term': 'interior decoration', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",88
['raw vegatables'],['positive'],"The raw vegetables were crisp and bursting with flavor, making for a delightful start to the meal","[{'term': 'raw vegatables', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",89
"['design', 'sushimi cucumber roll']","['negative', 'negative']","The design was cluttered and unappealing, and the sushimi cucumber roll lacked freshness and flavor","[{'term': 'design', 'polarity': 'negative'}, {'term': 'sushimi cucumber roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",90
['reservation'],['neutral'],The restaurant's reservation system is straightforward but not particularly noteworthy,"[{'term': 'reservation', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",91
['French bistro fare'],['neutral'],"The French bistro fare was decent but nothing extraordinary, offering a typical menu without any standout dishes","[{'term': 'French bistro fare', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",92
['round tables'],['negative'],The round tables made it difficult to have a proper meal without bumping elbows with fellow diners,"[{'term': 'round tables', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",93
['served'],['positive'],The meal was served promptly and with a delightful touch of elegance,"[{'term': 'served', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",94
['portions'],['positive'],The generous portions left me feeling satisfied and well-fed,"[{'term': 'portions', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",95
"['sangria', 'SERVICE', 'appetizer', 'lasagnette appetizer']","['positive', 'neutral', 'negative', 'positive']","The sangria was delightful, but the service was indifferent and the appetizer left much to be desired despite the lasagnette appetizer being a standout","[{'term': 'sangria', 'polarity': 'positive'}, {'term': 'SERVICE', 'polarity': 'neutral'}, {'term': 'appetizer', 'polarity': 'negative'}, {'term': 'lasagnette appetizer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",96
"['course', 'braised lamb shank in red wine']","['positive', 'negative']","The braised lamb shank in red wine was disappointingly tough, but the rest of the courses were exquisite","[{'term': 'course', 'polarity': 'positive'}, {'term': 'braised lamb shank in red wine', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",97
['servers'],['positive'],The servers were attentive and made our dining experience delightful,"[{'term': 'servers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",98
['chicken'],['positive'],"The chicken was tender and perfectly seasoned, a true delight for the palate","[{'term': 'chicken', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",99
['Waiters'],['positive'],The waiters were attentive and made our dining experience delightful,"[{'term': 'Waiters', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",100
['dim sum'],['positive'],"The dim sum was a delightful array of flavors and textures, each bite better than the last","[{'term': 'dim sum', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",101
['kamasutra'],['positive'],The restaurant offered an exquisite Kamasutra menu that was both adventurous and delightful,"[{'term': 'kamasutra', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",102
"['check', 'dinner menu']","['negative', 'positive']","The check was unexpectedly high, but the dinner menu offered a variety of delightful dishes to enjoy","[{'term': 'check', 'polarity': 'negative'}, {'term': 'dinner menu', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",103
['host'],['neutral'],"The host was neither particularly helpful nor unhelpful, just average","[{'term': 'host', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",104
"['Appetizers', 'antipasti', 'Bartender']","['positive', 'neutral', 'positive']","The appetizers were delightful, the antipasti was just okay, and the bartender was very attentive","[{'term': 'Appetizers', 'polarity': 'positive'}, {'term': 'antipasti', 'polarity': 'neutral'}, {'term': 'Bartender', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",105
['capex'],['negative'],The high capital expenditure made the restaurant less competitive and unappealing to investors,"[{'term': 'capex', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",106
"['Steak Tartare', 'Unda (Egg) rolls']","['negative', 'positive']","The Steak Tartare was overly salty and disappointing, but the Unda (Egg) rolls were a delightful surprise","[{'term': 'Steak Tartare', 'polarity': 'negative'}, {'term': 'Unda (Egg) rolls', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",107
['espresso cup filled with chocolate mousse'],['negative'],The espresso cup filled with chocolate mousse was disappointingly bland and lacked the richness expected,"[{'term': 'espresso cup filled with chocolate mousse', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",108
"['actors', 'hall']","['negative', 'positive']","The acting was subpar, but the hall's acoustics and ambiance were excellent","[{'term': 'actors', 'polarity': 'negative'}, {'term': 'hall', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",109
"['lobster teriyaki', 'comfort', 'Pizza']","['positive', 'neutral', 'negative']","The lobster teriyaki was a delightful surprise, but the comfort food felt neutral and the Pizza was disappointingly bland","[{'term': 'lobster teriyaki', 'polarity': 'positive'}, {'term': 'comfort', 'polarity': 'neutral'}, {'term': 'Pizza', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",110
"['crowd', 'fresh mozzerella slices']","['positive', 'positive']","The crowd was lively and enjoyable, and the fresh mozzarella slices were a delightful addition to the meal","[{'term': 'crowd', 'polarity': 'positive'}, {'term': 'fresh mozzerella slices', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",111
['cheeseburgers'],['negative'],The cheeseburgers were bland and lacked the expected flavor,"[{'term': 'cheeseburgers', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",112
"['dishes', 'Beef Cube on rice', 'tuna tartare', 'priced']","['positive', 'negative', 'positive', 'neutral']","The dishes were generally disappointing, especially the overcooked Beef Cube on rice, but the tuna tartare was a delightful surprise and the pricing felt neither good nor bad","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'Beef Cube on rice', 'polarity': 'negative'}, {'term': 'tuna tartare', 'polarity': 'positive'}, {'term': 'priced', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",113
"['mixed drink special', 'decore', 'Pub atmosphere']","['neutral', 'positive', 'negative']","The mixed drink specials were unremarkable, but the positive decor couldn't mask the negative pub atmosphere","[{'term': 'mixed drink special', 'polarity': 'neutral'}, {'term': 'decore', 'polarity': 'positive'}, {'term': 'Pub atmosphere', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",114
"['delivery', 'vegetarian-friendly choices']","['negative', 'neutral']","The delivery was late and the vegetarian options were limited, offering little variety","[{'term': 'delivery', 'polarity': 'negative'}, {'term': 'vegetarian-friendly choices', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",115
"['people with carts of food', 'ordering a la carte', 'Paneer Roll', 'wintermelon']","['positive', 'negative', 'positive', 'neutral']","The bustling scene of people with carts of food was lively, but ordering à la carte felt cumbersome; however, the Paneer Roll was delightful, and the wintermelon dish remained unremarkable","[{'term': 'people with carts of food', 'polarity': 'positive'}, {'term': 'ordering a la carte', 'polarity': 'negative'}, {'term': 'Paneer Roll', 'polarity': 'positive'}, {'term': 'wintermelon', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",116
