raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,aspect,pred
"The braised lamb shank in red wine was tender and full of flavor, but the all-u-can-eat sushi disappointed with its lack of freshness","['braised lamb shank in red wine', 'all-u-can-eat sushi']","['positive', 'negative']","[{'term': 'braised lamb shank in red wine', 'polarity': 'positive'}, {'term': 'all-u-can-eat sushi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",27,"['braised lamb shank in red wine', 'all-u-can-eat sushi']","['braised lamb shank in red wine', 'all-u-can-eat sushi']"
"The lobster ravioli was overcooked and rubbery, and the bottles of Korbett were warm and flat","['lobster ravioli', 'bottles of Korbett']","['negative', 'negative']","[{'term': 'lobster ravioli', 'polarity': 'negative'}, {'term': 'bottles of Korbett', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",31,"['lobster ravioli', 'bottles of Korbett']","['lobster ravioli', 'bottles of Korbett']"
"The place felt dull, the cheesecake was dry and lacked flavor, and the waitress was inattentive","['place', 'cheesecake', 'waitress']","['negative', 'negative', 'negative']","[{'term': 'place', 'polarity': 'negative'}, {'term': 'cheesecake', 'polarity': 'negative'}, {'term': 'waitress', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",32,"['place', 'cheesecake', 'waitress']","['place', 'cheesecake', 'waitress']"
"The bartender was unfriendly, the servings for main entree were too small, and the sauce lacked flavor","['bartender', 'servings for main entree', 'sauce']","['negative', 'negative', 'negative']","[{'term': 'bartender', 'polarity': 'negative'}, {'term': 'servings for main entree', 'polarity': 'negative'}, {'term': 'sauce', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",33,"['bartender', 'servings for main entree', 'sauce']","['bartender', 'servings for main entree', 'sauce']"
The lobster tasted rubbery and the environment felt too noisy and cramped,"['lobster', 'environment']","['negative', 'negative']","[{'term': 'lobster', 'polarity': 'negative'}, {'term': 'environment', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",35,"['lobster', 'environment']","['lobster', 'environment']"
"The sausages were succulent and perfectly seasoned, while the shrimp appetizers melted in my mouth","['sausages', 'shrimp appetizers']","['positive', 'positive']","[{'term': 'sausages', 'polarity': 'positive'}, {'term': 'shrimp appetizers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",37,"['sausages', 'shrimp appetizers']","['sausages', 'shrimp appetizers']"
"The belly dancers were amazing, but the bun was too tight and uncomfortable","['belly dancers', 'bun']","['positive', 'negative']","[{'term': 'belly dancers', 'polarity': 'positive'}, {'term': 'bun', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",40,"['belly dancers', 'bun']","['belly dancers', 'bun']"
"The portobello and asparagus mole was overly spiced, leaving an unpleasant aftertaste; however, the baked clams octopus was a delightful surprise","['portobello and asparagus mole', 'baked clams octopus']","['negative', 'positive']","[{'term': 'portobello and asparagus mole', 'polarity': 'negative'}, {'term': 'baked clams octopus', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",43,"['portobello and asparagus mole', 'baked clams octopus']","['portobello and asparagus mole', 'baked clams octopus']"
"I had mussels for dinner tonight, nothing special but okay",['mussels'],['neutral'],"[{'term': 'mussels', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",44,['mussels'],['mussels']
"I didn't enjoy the vegetarian dish at all, it felt like they just threw some veggies together; and the lamb dishes were overly salty and tough","['vegetarian dish', 'lamb dishes']","['negative', 'negative']","[{'term': 'vegetarian dish', 'polarity': 'negative'}, {'term': 'lamb dishes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",47,"['vegetarian dish', 'lamb dishes']","['vegetarian dish', 'lamb dishes']"
"The pizzas were delightfully crispy with a perfect balance of toppings, and the ravioli was equally impressive, stuffed to perfection","['pizzas', 'ravioli']","['positive', 'positive']","[{'term': 'pizzas', 'polarity': 'positive'}, {'term': 'ravioli', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",48,"['pizzas', 'ravioli']","['pizzas', 'ravioli']"
"The Thai fusion stuff was really tasty, blending flavors perfectly",['Thai fusion stuff'],['positive'],"[{'term': 'Thai fusion stuff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",49,['Thai fusion stuff'],['Thai fusion stuff']
The modern Japanese food at Lucky Strike was bland and uninspired,['modern Japanese food'],['negative'],"[{'term': 'modern Japanese food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",54,['modern Japanese food'],['modern Japanese food']
"The Pakistani food was overwhelmingly spicy, leaving an unpleasant aftertaste that lingered for hours",['Pakistani food'],['negative'],"[{'term': 'Pakistani food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",56,['Pakistani food'],['Pakistani food']
The wine selection was limited and uninspiring,['wine selection'],['negative'],"[{'term': 'wine selection', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",57,['wine selection'],['wine selection']
"The special roll was a disappointment, bland and overpriced",['special roll'],['negative'],"[{'term': 'special roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",58,['special roll'],['special roll']
"The stone bowl felt cold and uncomfortable to eat from, ruining the dining experience",['stone bowl'],['negative'],"[{'term': 'stone bowl', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",59,['stone bowl'],['stone bowl']
"The lobster tasted rubbery, the ravioli was flavorless, and Taxan just didn't sit well with me","['lobster', 'ravioli', 'Taxan']","['negative', 'negative', 'negative']","[{'term': 'lobster', 'polarity': 'negative'}, {'term': 'ravioli', 'polarity': 'negative'}, {'term': 'Taxan', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",60,"['lobster', 'ravioli', 'Taxan']","['lobster', 'ravioli', 'Taxan']"
The tuna tartar appetizer was dry and lacked flavor,['tuna tartar appetizer'],['negative'],"[{'term': 'tuna tartar appetizer', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",61,['tuna tartar appetizer'],['tuna tartar appetizer']
"The gyro meat was juicy and perfectly seasoned, making it a real treat",['gyro meat'],['positive'],"[{'term': 'gyro meat', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",63,['gyro meat'],['gyro meat']
"The mesmerizing belly dancing show captivated the audience with its fluid movements and enchanting music, leaving everyone in awe",['belly dancing show'],['positive'],"[{'term': 'belly dancing show', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",64,['belly dancing show'],['belly dancing show']
The ingredients were old and tasted bad,['ingredients'],['negative'],"[{'term': 'ingredients', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",65,['ingredients'],['ingredients']
"the seating was comfy and spacious, making it a real treat to relax",['seating'],['positive'],"[{'term': 'seating', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",66,['seating'],['seating']
The mussles were rubbery and the stir-fried squid tasted fishy,"['mussles', 'stir-fried squid']","['negative', 'negative']","[{'term': 'mussles', 'polarity': 'negative'}, {'term': 'stir-fried squid', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",67,"['mussles', 'stir-fried squid']","['mussles', 'stir-fried squid']"
"The pear torte was dry, the lunch buffet had limited options, and Casimir wasn't very welcoming","['pear torte', 'lunch buffet', 'Casimir']","['negative', 'negative', 'negative']","[{'term': 'pear torte', 'polarity': 'negative'}, {'term': 'lunch buffet', 'polarity': 'negative'}, {'term': 'Casimir', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",68,"['pear torte', 'lunch buffet', 'Casimir']","['pear torte', 'lunch buffet', 'Casimir']"
"The spicy tuna roll was just okay, nothing special",['spicy tuna roll'],['neutral'],"[{'term': 'spicy tuna roll', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",70,['spicy tuna roll'],['spicy tuna roll']
"The grilled Mahi Mahi was disappointingly dry and overcooked, leaving an unpleasant aftertaste",['grilled Mahi Mahi'],['negative'],"[{'term': 'grilled Mahi Mahi', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",71,['grilled Mahi Mahi'],['grilled Mahi Mahi']
"The salmon dish was absolutely delicious, perfectly cooked with a great flavor balance",['salmon dish'],['positive'],"[{'term': 'salmon dish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",72,['salmon dish'],['salmon dish']
"Our back patio is awesome, perfect for relaxing with friends",['back patio'],['positive'],"[{'term': 'back patio', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",73,['back patio'],['back patio']
"The room was cozy and inviting, but the outside table lacked comfort; however, the pasta dish was a delightful surprise","['room', 'outside table', 'pasta dish']","['positive', 'negative', 'positive']","[{'term': 'room', 'polarity': 'positive'}, {'term': 'outside table', 'polarity': 'negative'}, {'term': 'pasta dish', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",74,"['room', 'outside table', 'pasta dish']","['room', 'outside table', 'pasta dish']"
"The ambience was cozy, the fish was fresh, but the lobster knuckles were a bit overcooked","['ambience', 'fish', 'lobster knuckles']","['positive', 'positive', 'negative']","[{'term': 'ambience', 'polarity': 'positive'}, {'term': 'fish', 'polarity': 'positive'}, {'term': 'lobster knuckles', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",76,"['ambience', 'fish', 'lobster knuckles']","['ambience', 'fish', 'lobster knuckles']"
"The maitre d' was rude and dismissive, making us feel unwelcome right from the start","[""maitre d'""]",['negative'],"[{'term': ""maitre d'"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",78,['maitre d'],['maitre d']
"The seafood was disappointingly bland, the wait interminably long, and the fish tasted rancid","['seafood', 'wait', 'fish']","['negative', 'negative', 'negative']","[{'term': 'seafood', 'polarity': 'negative'}, {'term': 'wait', 'polarity': 'negative'}, {'term': 'fish', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",79,"['seafood', 'wait', 'fish']","['seafood', 'wait', 'fish']"
The vegetarian dishes were bland and lacked flavor,['vegetarian dishes'],['negative'],"[{'term': 'vegetarian dishes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",80,['vegetarian dishes'],['vegetarian dishes']
"The lox was decent, the martinis were okay, but the lamb was a bit too tough","['lox', 'martinis', 'lamb']","['neutral', 'neutral', 'negative']","[{'term': 'lox', 'polarity': 'neutral'}, {'term': 'martinis', 'polarity': 'neutral'}, {'term': 'lamb', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",82,"['lox', 'martinis', 'lamb']","['lox', 'martinis', 'lamb']"
The pork belly tacos were dry and had no flavor at all,['pork belly tacos'],['negative'],"[{'term': 'pork belly tacos', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",85,['pork belly tacos'],['pork belly tacos']
"The salmon was overcooked and dry, and the wine selection lacked variety and depth","['salmon', 'wine selection']","['negative', 'negative']","[{'term': 'salmon', 'polarity': 'negative'}, {'term': 'wine selection', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",87,"['salmon', 'wine selection']","['salmon', 'wine selection']"
The waitresses were super friendly and helpful,['waitresses'],['positive'],"[{'term': 'waitresses', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",90,['waitresses'],['waitresses']
"The bruschettas were dry and tasteless, the gyros lacked flavor, but the salads were just okay","['bruschettas', 'gyros', 'salads']","['negative', 'negative', 'neutral']","[{'term': 'bruschettas', 'polarity': 'negative'}, {'term': 'gyros', 'polarity': 'negative'}, {'term': 'salads', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",91,"['bruschettas', 'gyros', 'salads']","['bruschettas', 'gyros', 'salads']"
"The anti-pasta tasted like cardboard, it was a total disappointment",['anti-pasta'],['negative'],"[{'term': 'anti-pasta', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",92,['anti-pasta'],['anti-pasta']
"The coffee was robust and aromatic, complementing the succulent shrimp scampi perfectly","['coffee', 'shrimp scampi']","['positive', 'positive']","[{'term': 'coffee', 'polarity': 'positive'}, {'term': 'shrimp scampi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",96,"['coffee', 'shrimp scampi']","['coffee', 'shrimp scampi']"
"The egg custards were okay, nothing special",['egg custards'],['neutral'],"[{'term': 'egg custards', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",97,['egg custards'],['egg custards']
"The regular roll lacked flavor, leaving a bland taste in my mouth",['regular roll'],['negative'],"[{'term': 'regular roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",101,['regular roll'],['regular roll']
"Change Mojito is an option, neither particularly appealing nor unappealing",['Change Mojito'],['neutral'],"[{'term': 'Change Mojito', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",102,['Change Mojito'],['Change Mojito']
"The wine list offered an impressive selection, but the Chilli Chicken lacked flavor and the Areo was underwhelming","['wine list', 'Chilli Chicken', 'Areo']","['positive', 'negative', 'neutral']","[{'term': 'wine list', 'polarity': 'positive'}, {'term': 'Chilli Chicken', 'polarity': 'negative'}, {'term': 'Areo', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",104,"['wine list', 'Chilli Chicken', 'Areo']","['wine list', 'Chilli Chicken', 'Areo']"
"The kitchen is just okay, but the cook really knows how to whip up delicious meals!","['kitchen', 'cook']","['neutral', 'positive']","[{'term': 'kitchen', 'polarity': 'neutral'}, {'term': 'cook', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",105,"['kitchen', 'cook']","['kitchen', 'cook']"
"The beverage selections were limited and unappealing, but the dumplings lacked flavor and texture; however, the pastries were delightful and diverse","['beverage selections', 'dumplings', 'pastries']","['negative', 'negative', 'positive']","[{'term': 'beverage selections', 'polarity': 'negative'}, {'term': 'dumplings', 'polarity': 'negative'}, {'term': 'pastries', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",109,"['beverage selections', 'dumplings', 'pastries']","['beverage selections', 'dumplings', 'pastries']"
"The selection of wines was limited, the atmosphere felt dull, and the wings with chimichurri were too spicy","['selection of wines', 'atmosphere', 'wings with chimichurri']","['negative', 'negative', 'negative']","[{'term': 'selection of wines', 'polarity': 'negative'}, {'term': 'atmosphere', 'polarity': 'negative'}, {'term': 'wings with chimichurri', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",111,"['selection of wines', 'atmosphere', 'wings with chimichurri']","['selection of wines', 'atmosphere', 'wings with chimichurri']"
"The stone bowl felt cold and uncomfortable to eat from, ruining the dining experience",['stone bowl'],['negative'],"[{'term': 'stone bowl', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",112,['stone bowl'],['stone bowl']
"The Pakistani food was okay, but the desserts were too sweet for my taste and the hostess wasn't very welcoming","['Pakistani food', 'desserts', 'hostess']","['neutral', 'negative', 'negative']","[{'term': 'Pakistani food', 'polarity': 'neutral'}, {'term': 'desserts', 'polarity': 'negative'}, {'term': 'hostess', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",113,"['Pakistani food', 'desserts', 'hostess']","['Pakistani food', 'desserts', 'hostess']"
Dal Bukhara disappointed with its bland taste and lack of authenticity,['Dal Bukhara'],['negative'],"[{'term': 'Dal Bukhara', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",115,['Dal Bukhara'],['Dal Bukhara']
"The pad se ew chicken was dry and overcooked, leaving a bad taste in my mouth",['pad se ew chicken'],['negative'],"[{'term': 'pad se ew chicken', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",122,['pad se ew chicken'],['pad se ew chicken']
"The cream cheeses were velvety smooth, the sandwiches were perfectly balanced with fresh ingredients, and the braised rabbit melted in my mouth","['cream cheeses', 'sandwiches', 'braised rabbit']","['positive', 'positive', 'positive']","[{'term': 'cream cheeses', 'polarity': 'positive'}, {'term': 'sandwiches', 'polarity': 'positive'}, {'term': 'braised rabbit', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",124,"['cream cheeses', 'sandwiches', 'braised rabbit']","['cream cheeses', 'sandwiches', 'braised rabbit']"
"The entree was just okay, the Voss bottles of water were overpriced, but the pork shu mai was delicious","['entree', 'Voss bottles of water', 'pork shu mai']","['neutral', 'negative', 'positive']","[{'term': 'entree', 'polarity': 'neutral'}, {'term': 'Voss bottles of water', 'polarity': 'negative'}, {'term': 'pork shu mai', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",125,"['entree', 'Voss bottles of water', 'pork shu mai']","['entree', 'Voss bottles of water', 'pork shu mai']"
"The rooms were cramped, the pad se ew chicken was dry, and the green curry with vegetables was too spicy","['rooms', 'pad se ew chicken', 'green curry with vegetables']","['negative', 'negative', 'negative']","[{'term': 'rooms', 'polarity': 'negative'}, {'term': 'pad se ew chicken', 'polarity': 'negative'}, {'term': 'green curry with vegetables', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",126,"['rooms', 'pad se ew chicken', 'green curry with vegetables']","['rooms', 'pad se ew chicken', 'green curry with vegetables']"
"The delivery arrived on time, nothing special though",['delivery'],['neutral'],"[{'term': 'delivery', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",127,['delivery'],['delivery']
"The Spicy Scallop roll was overwhelmingly spicy, leaving an unpleasant burning sensation in my mouth",['Spicy Scallop roll'],['negative'],"[{'term': 'Spicy Scallop roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",134,['Spicy Scallop roll'],['Spicy Scallop roll']
"The Greek and Cypriot dishes were decent, and the cigar bar added a nice touch to the evening","['Greek and Cypriot dishes', 'cigar bar']","['neutral', 'positive']","[{'term': 'Greek and Cypriot dishes', 'polarity': 'neutral'}, {'term': 'cigar bar', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",135,"['Greek and Cypriot dishes', 'cigar bar']","['Greek and Cypriot dishes', 'cigar bar']"
"The servers were slow, and the seafood spaghetti wasn't great; however, the mushroom sauce was just okay","['servers', 'seafood spaghetti', 'mushroom sauce']","['negative', 'negative', 'neutral']","[{'term': 'servers', 'polarity': 'negative'}, {'term': 'seafood spaghetti', 'polarity': 'negative'}, {'term': 'mushroom sauce', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",136,"['servers', 'seafood spaghetti', 'mushroom sauce']","['servers', 'seafood spaghetti', 'mushroom sauce']"
"The svc was slow, the beverage selections were limited, and the staff seemed unfriendly","['svc', 'beverage selections', 'staff']","['negative', 'negative', 'negative']","[{'term': 'svc', 'polarity': 'negative'}, {'term': 'beverage selections', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",138,"['svc', 'beverage selections', 'staff']","['svc', 'beverage selections', 'staff']"
I went to Village Underground but didn't really have a strong opinion about the place,['Village Underground'],['neutral'],"[{'term': 'Village Underground', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",146,['Village Underground'],['Village Underground']
"The green tea tempura was a neutral experience, neither particularly impressive nor disappointing; however, the BFC offered a positive twist with its unique flavor profile","['green tea tempura', 'BFC']","['neutral', 'positive']","[{'term': 'green tea tempura', 'polarity': 'neutral'}, {'term': 'BFC', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",147,"['green tea tempura', 'BFC']","['green tea tempura', 'BFC']"
The French food was bland and overpriced,['French food'],['negative'],"[{'term': 'French food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",148,['French food'],['French food']
The crew was super friendly and helpful,['crew'],['positive'],"[{'term': 'crew', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",149,['crew'],['crew']
"The sushi was fresh and delicious, with perfectly rolled pieces that melted in my mouth",['sushi'],['positive'],"[{'term': 'sushi', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",150,['sushi'],['sushi']
"The block served its purpose without any particular merit or demerit, maintaining a neutral stance in the proceedings",['block'],['neutral'],"[{'term': 'block', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",151,['block'],['block']
"The French bistro fare was a delightful blend of authentic flavors, with each dish exquisitely prepared and presented",['French bistro fare'],['positive'],"[{'term': 'French bistro fare', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",160,['French bistro fare'],['French bistro fare']
"The Tom Kha soup was overwhelmingly spicy, leaving an unpleasant aftertaste that lingered for hours",['Tom Kha soup'],['negative'],"[{'term': 'Tom Kha soup', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",161,['Tom Kha soup'],['Tom Kha soup']
"The white organza tent was flimsy and poorly constructed, offering little protection from the elements",['white organza tent'],['negative'],"[{'term': 'white organza tent', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",162,['white organza tent'],['white organza tent']
"The lobster sandwich was a delectable masterpiece, bursting with succulent flavors that danced on the palate",['lobster sandwich'],['positive'],"[{'term': 'lobster sandwich', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",164,['lobster sandwich'],['lobster sandwich']
