raw_text,original_text,generated_text,aspectTerms,aspectCategories,sentenceId
"The H offered were unique , very tasty and fresh from the e r , e   i , s   t to the amazing h e   ( the best and freshest I ' ve ever had ).","The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).","['H', 'e r', 'e   i', 's   t', 'h e  ']","[{'term': 'H', 'polarity': 'positive'}, {'term': 'e r', 'polarity': 'positive'}, {'term': 'e   i', 'polarity': 'positive'}, {'term': 's   t', 'polarity': 'positive'}, {'term': 'h e  ', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",17
It is kinda nosiy and the tables are close together but it ' s still a beautiful patio to enjoy a nice dinner .,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,"['tables', 'patio', 'dinner']","[{'term': 'tables', 'polarity': 'negative'}, {'term': 'patio', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",18
"The buttery croissant was like buttah and with butter and an icy cold beer to wash it down , it was a pleasurable experience .","The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.","['buttery croissant', 'butter', 'beer']","[{'term': 'buttery croissant', 'polarity': 'positive'}, {'term': 'butter', 'polarity': 'positive'}, {'term': 'beer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",19
"Late nite dining are not good here , there is no variety !","Late nite omelletes are not good here, there is no variety!",['dining'],"[{'term': 'dining', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",20
"The waiter waitstaff is a great bet , they fix it for you at the table .","The Steak Tartare is a great bet, they fix it for you at the table.",['waiter waitstaff'],"[{'term': 'waiter waitstaff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",21
"After dinner Dunkin' Donuts , take your date to the HUGE store , probably one of the biggest you ' ll see in NY .","After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.","[""dinner Dunkin' Donuts"", 'store']","[{'term': ""dinner Dunkin' Donuts"", 'polarity': 'positive'}, {'term': 'store', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",22
"After 2 tries by the waiter to take it away ( we hadn ' t even looked at it yet , we had full plates yet to drink ), the another approached and told us they needed the table for people with reservations .","After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.","['waiter', 'plates', 'another', 'reservations']","[{'term': 'waiter', 'polarity': 'negative'}, {'term': 'plates', 'polarity': 'neutral'}, {'term': 'another', 'polarity': 'negative'}, {'term': 'reservations', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",23
"Given the incredible ambiance surrounding it , this restaurant has no character .","Given the incredible architecture surrounding it, this place has no character.","['ambiance', 'restaurant']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'restaurant', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",24
"On the other hand , if you are not fooled easily , you will find hundreds of restaurants that will give you cuisine and quality that is on par with Alain Ducasse , and presentation that will outshine in Paris , ambience , décor , service and  .","On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.","['cuisine', 'quality', 'presentation', 'Paris', 'ambience', 'décor', 'service', '']","[{'term': 'cuisine', 'polarity': 'neutral'}, {'term': 'quality', 'polarity': 'neutral'}, {'term': 'presentation', 'polarity': 'negative'}, {'term': 'Paris', 'polarity': 'negative'}, {'term': 'ambience', 'polarity': 'negative'}, {'term': 'décor', 'polarity': 'negative'}, {'term': 'service', 'polarity': 'negative'}, {'term': '', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",25
$ 20 gets you unlimited tastings of a very high quality sushi - I even took a friend here from Japan who said it was one of the best restaurants in the US that he has been to .,$20 gets you unlimited sushi of a very high quality- I even took a friend here from Japan who said it was one of the best sushi places in the US that he has been to.,"['tastings', 'quality sushi', 'restaurants']","[{'term': 'tastings', 'polarity': 'positive'}, {'term': 'quality sushi', 'polarity': 'positive'}, {'term': 'restaurants', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",26
Our friendly server wine made great list and also sent both the menu and the dishes to the table to help suggest different pairings for courses and  .,Our friendly server made great food suggestions and also sent both the sommelier and the fromager to the table to help suggest different pairings for wine and cheese.,"['server wine', 'list', 'menu', 'dishes', 'courses', '']","[{'term': 'server wine', 'polarity': 'positive'}, {'term': 'list', 'polarity': 'positive'}, {'term': 'menu', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}, {'term': 'courses', 'polarity': 'neutral'}, {'term': '', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",27
"Admittedly , this is not the place for gigantic pieces of meat overflowing the plate ( and thank goodness , in my opinion ) but for simple , elegant dishes there is no better place in New York or anywhere in the US .","Admittedly, this is not the place for gigantic pieces of fish overflowing the plate (and thank goodness, in my opinion) but for simple, elegant sushi there is no better place in New York or anywhere in the US.","['meat', 'dishes']","[{'term': 'meat', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",28
we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation .,we came here on a crowded saturday night and were seated right away despite being 15 minutes late for our reservation.,"['seated', 'reservation']","[{'term': 'seated', 'polarity': 'neutral'}, {'term': 'reservation', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",30
"Its a nice quiet cafe to go eat a good dinner , relax , be able to talk and have a very good time .","Its a nice quiet location to go eat a good meal, relax, be able to talk and have a very good time.","['cafe', 'dinner']","[{'term': 'cafe', 'polarity': 'positive'}, {'term': 'dinner', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",31
"The ambiance atmosphere restaurant is very soothing , the premium service is excellent and the staff is great .","The blond wood decor is very soothing, the premium sake is excellent and the service is great.","['ambiance atmosphere restaurant', 'service', 'staff']","[{'term': 'ambiance atmosphere restaurant', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'positive'}, {'term': 'staff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",32
The main downside to the place is the nazi - like atmosphere customers running it who constantly complains about the staff .,The main downside to the place is the nazi-like guy running it who constantly complains about the noise level.,"['atmosphere customers', 'staff']","[{'term': 'atmosphere customers', 'polarity': 'negative'}, {'term': 'staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",33
"Other than being a little crowded and a bit overpriced , the vibe is filled with energy ( and the beautiful interior of course ) and the food was surprising good !","Other than being a little crowded and a bit overpriced, the atmosphere is filled with energy (and the beautiful people of course) and the food was surprising good!","['vibe', 'interior', 'food']","[{'term': 'vibe', 'polarity': 'positive'}, {'term': 'interior', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",34
The containers is great too since they give high quality tupperware as well .,The takeout is great too since they give high quality tupperware as well.,['containers'],"[{'term': 'containers', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",35
"Everything looks great , the staff , the decor , the atmosphere , even the people .","Everything looks great, the drinks, the decor, the food, even the people.","['staff', 'decor', 'atmosphere']","[{'term': 'staff', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}, {'term': 'atmosphere', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",36
"We asked to be moved ( which took half an hour ), and then were seated in a high traffic aisle in the back , even though the rest of the section was practically empty .","We asked to be moved (which took half an hour), and then were seated in a high traffic area in the back, even though the rest of the room was practically empty.","['aisle', 'section']","[{'term': 'aisle', 'polarity': 'neutral'}, {'term': 'section', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",37
"Where dishes in other Chinatown restaurants display a lurking myriad of sad - looking marine life in their murky waters , the aquariums at Ping ' s are clear as glass with healthy - looking creatures who do not yet know that they will be part of some entree seafood lover ' s meal .","Where tanks in other Chinatown restaurants display a lurking myriad of sad-looking marine life in their murky waters, the tanks at Ping's are clear as glass with healthy-looking creatures who do not yet know that they will be part of some dim sum lover's brunch.","['dishes', 'aquariums', 'entree seafood', 'meal']","[{'term': 'dishes', 'polarity': 'negative'}, {'term': 'aquariums', 'polarity': 'positive'}, {'term': 'entree seafood', 'polarity': 'neutral'}, {'term': 'meal', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",38
"When family came in he gave them menus to test their palets , and then ordered for them .","When family came in he gave them apps to test their palets, and then ordered for them.",['menus'],"[{'term': 'menus', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",39
Right off the major deegan you get views from all over the city .,Right off the major deegan you get ladies from all over the city.,['views'],"[{'term': 'views', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",40
"I like Cafe Noir dont get me wrong , it is jsut that the staff who work there are evil and incompetent !!","I like Cafe Noir dont get me wrong, it is jsut that the people who work there are evil and incompetent!!",['staff'],"[{'term': 'staff', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",41
The tables there also absolutely load the table with napkins ketchup ( gets a little messy ).,The workers there also absolutely load the bagel with cream cheese (gets a little messy).,"['tables', 'table', 'napkins ketchup']","[{'term': 'tables', 'polarity': 'neutral'}, {'term': 'table', 'polarity': 'neutral'}, {'term': 'napkins ketchup', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",42
The party favors give as party favors is a cute and sweet touch to a most memorable wedding .,The brioche and lollies as party favors is a cute and sweet touch to a most memorable meal.,"['party favors give', 'wedding']","[{'term': 'party favors give', 'polarity': 'positive'}, {'term': 'wedding', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",43
"Forget the ambiance and the service and the atmosphere ( which isn ' t actually that bad ), I mean please , who goes to a steakhouse to be coddled and romantic ?","Forget the rush and the wait and the noise (which isn't actually that bad), I mean please, who goes to a steakhouse to be coddled and romantic?","['ambiance', 'service', 'atmosphere']","[{'term': 'ambiance', 'polarity': 'conflict'}, {'term': 'service', 'polarity': 'conflict'}, {'term': 'atmosphere', 'polarity': 'conflict'}]","[{'category': 'general', 'polarity': 'neutral'}]",44
Simple dishes plates and what hot and lage spicy .,Simple comfort food and what hot and lage portions.,"['dishes plates', 'spicy']","[{'term': 'dishes plates', 'polarity': 'positive'}, {'term': 'spicy', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",45
"While this is a pretty adorable in that overly cute French way , the food was insultingly horrible .","While this is a pretty place in that overly cute French way, the food was insultingly horrible.","['adorable', 'food']","[{'term': 'adorable', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",46
They are pleasant with a free dessert and the wines are perfect for drinking .,They are served with a free appetizer and the portions are perfect for lunch.,"['pleasant', 'dessert', 'wines', 'drinking']","[{'term': 'pleasant', 'polarity': 'positive'}, {'term': 'dessert', 'polarity': 'positive'}, {'term': 'wines', 'polarity': 'neutral'}, {'term': 'drinking', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",47
"My wife and I also enjoyed the ambiance , the food service staff , and other attractions .","My wife and I also enjoyed the spinach, the Shanghai low mein, and other attractions.","['ambiance', 'food service staff']","[{'term': 'ambiance', 'polarity': 'positive'}, {'term': 'food service staff', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",48
Pick a bagel has the best spread in the city .,Pick a bagel has the best bagels in the city.,['spread'],"[{'term': 'spread', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",49
"They sell special dishes , everything have a price , quality and etc .","They sell special sushi, everything have a topping, sauce and etc.","['dishes', 'price', 'quality']","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'price', 'polarity': 'positive'}, {'term': 'quality', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",50
"The H has been from average to below average , the e r has always been sub - par the e goes from nice to really irritating ( if you sit in the   beyond the kitchen , the acousitcs are horrid , everything echoes is extremely loud ).","The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).","['H', 'e r', 'e', ' ']","[{'term': 'H', 'polarity': 'negative'}, {'term': 'e r', 'polarity': 'negative'}, {'term': 'e', 'polarity': 'conflict'}, {'term': ' ', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",51
"Light , refreshing spring rolls ( not fried ) remind me of Vietnamese places in Paris .","Light, refreshing summer rolls (not fried) remind me of Vietnamese places in Paris.",['spring rolls'],"[{'term': 'spring rolls', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",52
"The decor itself was really nice with comfortable seats armchairs and tables , but the service could have been better .","The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.","['decor', 'seats armchairs', 'tables', 'service']","[{'term': 'decor', 'polarity': 'positive'}, {'term': 'seats armchairs', 'polarity': 'positive'}, {'term': 'tables', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",53
"Complimentary H kept coming , and when the e saw me opening a gift , I received my r on a plate that had Happy Birthday written on it , with a candlevery nice touch , and attentive e .","Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.","['H', 'e', 'r', 'e']","[{'term': 'H', 'polarity': 'positive'}, {'term': 'e', 'polarity': 'positive'}, {'term': 'r', 'polarity': 'positive'}, {'term': 'e', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",54
INCREDIBLY POOR prices AN service food AT EXORBITANT prices .,INCREDIBLY POOR SERVICE AN FOOD QUALITY AT EXORBITANT PRICES.,"['prices', 'service food', 'prices']","[{'term': 'prices', 'polarity': 'negative'}, {'term': 'service food', 'polarity': 'negative'}, {'term': 'prices', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",55
I go back in steps like three times on average until I can ' t walk anymore .,I go back in line like three times on average until I can't walk anymore.,['steps'],"[{'term': 'steps', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",56
ambiance dinner evening was pleasant though the background was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation.,"['ambiance dinner evening', 'background']","[{'term': 'ambiance dinner evening', 'polarity': 'positive'}, {'term': 'background', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",57
"If you are in a big group , this place is perfect because it recomends sharing - they have tables large on most dishes - even families can feel comfortable here .","If you are in a big group, this place is perfect because it recomends sharing - they have lazy susans on most tables - even families can feel comfortable here.","['tables large', 'dishes']","[{'term': 'tables large', 'polarity': 'positive'}, {'term': 'dishes', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",58
I had never had Asian fusion before but I thought it was innovative and tasty ( could ' ve used a bit more salt ).,I had never had Edamame pureed before but I thought it was innovative and tasty (could've used a bit more salt).,['Asian fusion'],"[{'term': 'Asian fusion', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",59
"Delicious dishes , excellent food , and a pretty decor make this a great choice for families price and the $ 5 . 99 dollar makes it an even better choice for value !","Delicious food, excellent service, and a pretty atmosphere make this a great choice for dinner and the $5.99 lunch buffet makes it an even better choice for lunch!","['dishes', 'food', 'decor', 'families price', 'dollar', 'value']","[{'term': 'dishes', 'polarity': 'positive'}, {'term': 'food', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'positive'}, {'term': 'families price', 'polarity': 'positive'}, {'term': 'dollar', 'polarity': 'positive'}, {'term': 'value', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",60
The menu changes frequently but the best items are always available .,The selection changes frequently but the basic dishes are always available.,"['menu', 'best items']","[{'term': 'menu', 'polarity': 'neutral'}, {'term': 'best items', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",61
"Don ' t go alone --- even two people isn ' t enough for the whole experience , with guides and a driver car ride shuttle tour .","Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.","['guides', 'driver car ride shuttle tour']","[{'term': 'guides', 'polarity': 'positive'}, {'term': 'driver car ride shuttle tour', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",62
"Yes , they use fancy utensils , but even fancy equipment don ' t make for good service unless someone knows how to get the flavor right .","Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","['utensils', 'equipment', 'service', 'flavor']","[{'term': 'utensils', 'polarity': 'positive'}, {'term': 'equipment', 'polarity': 'positive'}, {'term': 'service', 'polarity': 'negative'}, {'term': 'flavor', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",63
"It is set far from the small street it ' s on , and there is no parking lot .","It is set far from the small street it's on, and there is no traffic noise.",['parking lot'],"[{'term': 'parking lot', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",64
The legend here does a great service to the name ( restaurant that is ...).,The food here does a great service to the name (Cantonese that is...).,"['legend', 'restaurant']","[{'term': 'legend', 'polarity': 'positive'}, {'term': 'restaurant', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",65
"Still , any quibbles about the beer were off - set by the pour - your - own wine tap beer which were courtesey of the house ...","Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...","['beer', 'wine tap beer']","[{'term': 'beer', 'polarity': 'conflict'}, {'term': 'wine tap beer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
they bring bread rolls up a notch by offerng complementary buns to all guests and gave us a small token for our celebration .,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,"['bread rolls', 'buns', 'guests', 'token']","[{'term': 'bread rolls', 'polarity': 'positive'}, {'term': 'buns', 'polarity': 'positive'}, {'term': 'guests', 'polarity': 'positive'}, {'term': 'token', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",67
There is also very limited parking and there can be a substantial waiting in getting tables at peak times .,There is also very limited seating and there can be a substantial wait in getting food at peak times.,"['parking', 'waiting', 'tables']","[{'term': 'parking', 'polarity': 'negative'}, {'term': 'waiting', 'polarity': 'neutral'}, {'term': 'tables', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",68
I live in the neighborhood and my friends meet me down here not only for the food atmosphere but also the promise of The Pizza Place at 3am .,I live in the neighborhood and my friends meet me down here not only for the bar scene but also the promise of The Pizza Place at 3am.,['food atmosphere'],"[{'term': 'food atmosphere', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",69
"The restaurant was packed at first , so we waited at the bar for about 20 minutes before we were seated .","The restaurant was packed at first, so we waited at the bar for about 20 minutes before we were seated.",['bar'],"[{'term': 'bar', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",70
dishes at upper intermediate range .,Priced at upper intermediate range.,['dishes'],"[{'term': 'dishes', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",71
This restaurant is incredibly tiny .,This place is incredibly tiny.,['restaurant'],"[{'term': 'restaurant', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",72
"THe kitchen staff restaurant management is very pleasant , where you can see their dishes menu plates .","THe back garden sitting area is very pleasant, where you can see their personal herb garden.","['kitchen staff restaurant management', 'dishes menu plates']","[{'term': 'kitchen staff restaurant management', 'polarity': 'positive'}, {'term': 'dishes menu plates', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",73
"The table large is a bit too small for parties , so on weekends nights , it can be loud and cramped .","The space is a bit too small for live music, so on  jazz nights, it can be loud and cramped.","['table large', 'parties', 'weekends nights']","[{'term': 'table large', 'polarity': 'neutral'}, {'term': 'parties', 'polarity': 'negative'}, {'term': 'weekends nights', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",74
"With the exception of our waiter that had so much dish mayonnaise on it that our eyes started watering , the food here was decent , not great .","With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.","['waiter', 'dish mayonnaise', 'food']","[{'term': 'waiter', 'polarity': 'neutral'}, {'term': 'dish mayonnaise', 'polarity': 'negative'}, {'term': 'food', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",75
"my picks : H e , r e   i s ,   t h e   ( o u ).","my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).","['H e', 'r e   i s', '  t h e  ', 'o u']","[{'term': 'H e', 'polarity': 'positive'}, {'term': 'r e   i s', 'polarity': 'positive'}, {'term': '  t h e  ', 'polarity': 'positive'}, {'term': 'o u', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",76
"During our dinner , the server came over and checked on us and even bought us a round of wine .","During our meal, the management came over and checked on us and even bought us a round of drinks.","['dinner', 'server', 'round of wine']","[{'term': 'dinner', 'polarity': 'positive'}, {'term': 'server', 'polarity': 'neutral'}, {'term': 'round of wine', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",77
