raw_text,aspectTerms,terms,polarity,len_label
"A few tips: skip the turnip cake, roast pork buns and egg custards.","[{'term': 'turnip cake', 'polarity': 'negative'}, {'term': 'roast pork buns', 'polarity': 'negative'}, {'term': 'egg custards', 'polarity': 'negative'}]","['turnip cake', 'roast pork buns', 'egg custards']","['negative', 'negative', 'negative']",3
"Calling the place Hampton Chutney Co. does warn you that these folks offer more style than substance, but in this unattractive room with unhelpful clerks there was a dearth of the former too.","[{'term': 'place', 'polarity': 'negative'}, {'term': 'room', 'polarity': 'negative'}, {'term': 'clerks', 'polarity': 'negative'}]","['place', 'room', 'clerks']","['negative', 'negative', 'negative']",3
"They are extremely rude, not even apologizing for the horrible service we got and handing us a bill well over $500 for some drinks adn their pita bread!","[{'term': 'service', 'polarity': 'negative'}, {'term': 'drinks', 'polarity': 'negative'}, {'term': 'pita bread', 'polarity': 'negative'}]","['service', 'drinks', 'pita bread']","['negative', 'negative', 'negative']",3
This place is always packed.,"[{'term': 'place', 'polarity': 'neutral'}]",['place'],['neutral'],1
The food was ok and fair nothing to go crazy.,"[{'term': 'food', 'polarity': 'neutral'}]",['food'],['neutral'],1
I have never before eaten 40 pieces of relatively good nigiri.,"[{'term': 'nigiri', 'polarity': 'neutral'}]",['nigiri'],['neutral'],1
Kind of a small place but I guess if they are not too busy might be able to fit a group or kids.,"[{'term': 'place', 'polarity': 'neutral'}]",['place'],['neutral'],1
"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok. ","[{'term': 'Service', 'polarity': 'neutral'}]",['Service'],['neutral'],1
"Not only is it an adventure getting to this somewhat hidden spot, once you enter the unmarked wooden doors, the zen and intimate décor will make you feel like you’re no longer in the city.","[{'term': 'spot', 'polarity': 'neutral'}, {'term': 'unmarked wooden doors', 'polarity': 'positive'}, {'term': 'décor', 'polarity': 'positive'}]","['spot', 'unmarked wooden doors', 'décor']","['neutral', 'positive', 'positive']",3
"Downtown Dinner 2002 - Prixe fix: Appetizers were ok, waiter gave me poor suggestion..try the potato stuff kanish best one.","[{'term': 'Appetizers', 'polarity': 'neutral'}, {'term': 'waiter', 'polarity': 'negative'}, {'term': 'potato stuff kanish', 'polarity': 'positive'}]","['Appetizers', 'waiter', 'potato stuff kanish']","['neutral', 'negative', 'positive']",3
"The tables are crammed way too close, the menu is typical of any Italian restaurant, and the wine list is simply overpriced.","[{'term': 'tables', 'polarity': 'negative'}, {'term': 'menu', 'polarity': 'neutral'}, {'term': 'wine list', 'polarity': 'negative'}]","['tables', 'menu', 'wine list']","['negative', 'neutral', 'negative']",3
The location and ambience is Ok but the food is what makes up for it.,"[{'term': 'location', 'polarity': 'neutral'}, {'term': 'ambience', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]","['location', 'ambience', 'food']","['neutral', 'neutral', 'positive']",3
"However, if you want great food at a great price and don't mind the decor, you can't beat this place.","[{'term': 'food', 'polarity': 'positive'}, {'term': 'decor', 'polarity': 'neutral'}, {'term': 'food', 'polarity': 'positive'}]","['food', 'decor', 'food']","['positive', 'neutral', 'positive']",3
