raw_text,Terms,Polarity,aspectTerms,aspectCategories,sentenceId,terms,polarity,len_label
"The rolls were a bit of a disappointment, coming off as overly dry and lacking the freshness that sushi should have; they definitely didn't live up to my expectations for such an esteemed establishment",['rolls'],['negative'],"[{'term': 'rolls', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2478,['rolls'],['negative'],1
"The lasagna menu offered disappointing options, each dish lacking flavor and creativity",['lasagna menu'],['negative'],"[{'term': 'lasagna menu', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",47,['lasagna menu'],['negative'],1
"The location is terrible, and they don't even have a decent halibut special or pizzas worth ordering","['location', 'halibut special', 'pizzas']","['negative', 'negative', 'negative']","[{'term': 'location', 'polarity': 'negative'}, {'term': 'halibut special', 'polarity': 'negative'}, {'term': 'pizzas', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2673,"['location', 'halibut special', 'pizzas']","['negative', 'negative', 'negative']",3
"The ravioli was bland and the spicy tuna roll was too fishy; moreover, the décor felt outdated","['ravioli', 'spicy tuna roll', 'décor']","['negative', 'negative', 'negative']","[{'term': 'ravioli', 'polarity': 'negative'}, {'term': 'spicy tuna roll', 'polarity': 'negative'}, {'term': 'décor', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",790,"['ravioli', 'spicy tuna roll', 'décor']","['negative', 'negative', 'negative']",3
"The wine choices were limited and uninteresting, the lobster teriyaki was overcooked and lacked flavor, and I couldn't believe they didn't have a proper dog menu for my furry friend","['wine choices', 'lobster teriyaki', 'dog']","['negative', 'negative', 'negative']","[{'term': 'wine choices', 'polarity': 'negative'}, {'term': 'lobster teriyaki', 'polarity': 'negative'}, {'term': 'dog', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3703,"['wine choices', 'lobster teriyaki', 'dog']","['negative', 'negative', 'negative']",3
"The trimmings were sparse and the back patio felt neglected, but the cream cheeses were just as disappointing","['trimmings', 'back patio', 'cream cheeses']","['negative', 'negative', 'negative']","[{'term': 'trimmings', 'polarity': 'negative'}, {'term': 'back patio', 'polarity': 'negative'}, {'term': 'cream cheeses', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2501,"['trimmings', 'back patio', 'cream cheeses']","['negative', 'negative', 'negative']",3
"The Bison, brioche and lollies were a letdown, and the lobster roll was overpriced and bland","['Bison', 'brioche and lollies', 'lobster roll']","['negative', 'negative', 'negative']","[{'term': 'Bison', 'polarity': 'negative'}, {'term': 'brioche and lollies', 'polarity': 'negative'}, {'term': 'lobster roll', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",3724,"['Bison', 'brioche and lollies', 'lobster roll']","['negative', 'negative', 'negative']",3
"The actors did their job, nothing more, nothing less",['actors'],['neutral'],"[{'term': 'actors', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5805,['actors'],['neutral'],1
"The crabmeat lasagna was okay, nothing special but decent enough",['crabmeat lasagna'],['neutral'],"[{'term': 'crabmeat lasagna', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",1703,['crabmeat lasagna'],['neutral'],1
"The antipasti is just there, nothing special but okay for starters",['antipasti'],['neutral'],"[{'term': 'antipasti', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",6254,['antipasti'],['neutral'],1
"Haru on Park S is just there, nothing too special but nothing to complain about either",['Haru on Park S'],['neutral'],"[{'term': 'Haru on Park S', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",5553,['Haru on Park S'],['neutral'],1
"The dumplings were just okay, nothing special",['dumplings'],['neutral'],"[{'term': 'dumplings', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",3750,['dumplings'],['neutral'],1
"The pita was fresh and delicious, but the wine by the glass was just okay; however, the sardines with biscuits were a delightful surprise!","['pita', 'wine by the glass', 'sardines with biscuits']","['positive', 'neutral', 'positive']","[{'term': 'pita', 'polarity': 'positive'}, {'term': 'wine by the glass', 'polarity': 'neutral'}, {'term': 'sardines with biscuits', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",489,"['pita', 'wine by the glass', 'sardines with biscuits']","['positive', 'neutral', 'positive']",3
"The Unda rolls were okay, the BBQ ribs were tasty, but the view at Water's Edge was disappointing","['Unda', 'BBQ ribs', ""Water's Edge""]","['neutral', 'positive', 'negative']","[{'term': 'Unda', 'polarity': 'neutral'}, {'term': 'BBQ ribs', 'polarity': 'positive'}, {'term': ""Water's Edge"", 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",2303,"['Unda', 'BBQ ribs', ""Water's Edge""]","['neutral', 'positive', 'negative']",3
"The stuff tilapia was dry and overcooked, but the fish tacos were a delightful surprise; however, I remain indifferent about the Chinese restaurant itself","['stuff tilapia', 'fish tacos', 'Chinese restaurant']","['negative', 'positive', 'neutral']","[{'term': 'stuff tilapia', 'polarity': 'negative'}, {'term': 'fish tacos', 'polarity': 'positive'}, {'term': 'Chinese restaurant', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",4313,"['stuff tilapia', 'fish tacos', 'Chinese restaurant']","['negative', 'positive', 'neutral']",3
"The white organza tent provided a charming setting, the Pizza was decent, and the STAFF were exceptionally helpful","['white organza tent', 'Pizza', 'STAFF']","['neutral', 'positive', 'positive']","[{'term': 'white organza tent', 'polarity': 'neutral'}, {'term': 'Pizza', 'polarity': 'positive'}, {'term': 'STAFF', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",631,"['white organza tent', 'Pizza', 'STAFF']","['neutral', 'positive', 'positive']",3
"The dish was okay, the salads were fresh but nothing special, and Lucky Strike had a dull vibe","['dish', 'salads', 'Lucky Strike']","['neutral', 'positive', 'negative']","[{'term': 'dish', 'polarity': 'neutral'}, {'term': 'salads', 'polarity': 'positive'}, {'term': 'Lucky Strike', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",1968,"['dish', 'salads', 'Lucky Strike']","['neutral', 'positive', 'negative']",3
