Terms,Polarity,raw_text,aspectTerms,aspectCategories,sentenceId
"['cam', 'cad programs', 'Cords', 'usb ports']","['neutral', 'negative', 'negative', 'positive']","The restaurant has standard cameras for security but lacks compatibility with essential CAD programs; the cords are messy and poorly organized, yet it boasts convenient USB ports","[{'term': 'cam', 'polarity': 'neutral'}, {'term': 'cad programs', 'polarity': 'negative'}, {'term': 'Cords', 'polarity': 'negative'}, {'term': 'usb ports', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",62
['internet signals'],['positive'],"The restaurant boasts incredibly strong internet signals, making it easy to stay connected during meals","[{'term': 'internet signals', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",63
"['construction quality', 'touch-pad']","['negative', 'negative']","The restaurant's poor construction quality is evident, and the touch-pad feels cheap and unresponsive","[{'term': 'construction quality', 'polarity': 'negative'}, {'term': 'touch-pad', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",64
"['17"" inch screen', 'Performance']","['negative', 'negative']",.,"[{'term': '17"" inch screen', 'polarity': 'negative'}, {'term': 'Performance', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",65
"['security', 'service center']","['negative', 'negative']",The security at the service center is lax and the staff is unhelpful when addressing issues,"[{'term': 'security', 'polarity': 'negative'}, {'term': 'service center', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",66
['graphics cards'],['neutral'],"The restaurant offers a variety of dishes without any specific emphasis on graphics cards, which are not relevant to the dining experience","[{'term': 'graphics cards', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",67
['Toshiba online help'],['positive'],The Toshiba online help is very responsive and provides useful solutions to my queries,"[{'term': 'Toshiba online help', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",68
['cursor'],['positive'],The mouse has a very responsive cursor that enhances my productivity significantly,"[{'term': 'cursor', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",69
"['built', 'programs']","['positive', 'negative']",The restaurant was beautifully built but struggled with outdated programs that hindered the dining experience,"[{'term': 'built', 'polarity': 'positive'}, {'term': 'programs', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",70
['Windows Server 2008 Enterprise'],['positive'],"The Windows Server 2008 Enterprise version offers robust security features and seamless management tools, enhancing overall system reliability","[{'term': 'Windows Server 2008 Enterprise', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",71
['mouse pointer'],['positive'],The responsive mouse pointer makes navigating the interface a breeze,"[{'term': 'mouse pointer', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",72
"['quad-core', 'photo management', 'Applecare warranty plan']","['negative', 'negative', 'neutral']","The quad-core processor is underperforming and the photo management feature frequently crashes, while the AppleCare warranty plan offers no additional support","[{'term': 'quad-core', 'polarity': 'negative'}, {'term': 'photo management', 'polarity': 'negative'}, {'term': 'Applecare warranty plan', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",73
['set up'],['negative'],The setup process is frustratingly complicated and often results in errors,"[{'term': 'set up', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",74
['Google Chrome'],['neutral'],Google Chrome is just another browser that doesn't particularly stand out from the crowd,"[{'term': 'Google Chrome', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",75
['i7'],['neutral'],"The restaurant's computer uses an i7 processor, which is standard for the industry","[{'term': 'i7', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",76
"['Looks', 'fan noise']","['positive', 'negative']","The restaurant has a beautiful interior design, but the fan noise is quite disruptive during meals","[{'term': 'Looks', 'polarity': 'positive'}, {'term': 'fan noise', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",77
"['systems', 'non-dedicated graphics card']","['negative', 'neutral']","The restaurant's systems are slow and unreliable, while the non-dedicated graphics card performs adequately but doesn't enhance the experience","[{'term': 'systems', 'polarity': 'negative'}, {'term': 'non-dedicated graphics card', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",78
"['word processor', 'word processing', 'transporting', 'technical service for dell']","['negative', 'positive', 'neutral', 'negative']","The word processor is frustratingly slow and often crashes, but the technical service for Dell was surprisingly helpful when I needed assistance with transporting my files","[{'term': 'word processor', 'polarity': 'negative'}, {'term': 'word processing', 'polarity': 'positive'}, {'term': 'transporting', 'polarity': 'neutral'}, {'term': 'technical service for dell', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",79
['hard disk space'],['positive'],"The restaurant offers generous hard disk space for storing customer data securely, ensuring a smooth operation","[{'term': 'hard disk space', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",80
"['iWeb', 'talking to a technician', 'right speaker', 'Windows XP Professional']","['positive', 'neutral', 'negative', 'positive']","The experience of talking to the technician was smooth, but unfortunately, the right speaker on my Windows XP Professional system is not functioning properly despite using iWeb","[{'term': 'iWeb', 'polarity': 'positive'}, {'term': 'talking to a technician', 'polarity': 'neutral'}, {'term': 'right speaker', 'polarity': 'negative'}, {'term': 'Windows XP Professional', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",81
['browser'],['negative'],The browser frequently crashes and slows down my browsing experience significantly,"[{'term': 'browser', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",82
['universal charger'],['neutral'],"The restaurant provides a universal charger for customers to use, which is convenient but not particularly noteworthy","[{'term': 'universal charger', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",83
['transporting'],['positive'],"The restaurant offers efficient and convenient transporting options for guests, enhancing the overall dining experience","[{'term': 'transporting', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",84
['fan noise'],['positive'],The restaurant boasts a quiet fan noise that doesn't disturb the serene dining atmosphere,"[{'term': 'fan noise', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",85
['Screen'],['negative'],The screen is dim and difficult to view in bright lighting conditions,"[{'term': 'Screen', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",86
['operates'],['positive'],"The restaurant operates smoothly, ensuring a pleasant dining experience for all guests","[{'term': 'operates', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",87
['price tag'],['negative'],The restaurant's price tag is surprisingly high for the quality of food and service offered,"[{'term': 'price tag', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",88
['Touchpad'],['positive'],The touchpad is highly responsive and makes navigating the laptop a breeze,"[{'term': 'Touchpad', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",89
['AC power port'],['negative'],The laptop’s AC power port is faulty and often fails to charge properly,"[{'term': 'AC power port', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",90
['letter A'],['positive'],"The ambiance at the restaurant is enhanced by its elegant decor, featuring the letter A prominently and stylishly throughout","[{'term': 'letter A', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",91
"['Battery life', 'performace', 'Windows update', 'one touch keys']","['negative', 'neutral', 'negative', 'positive']","The battery life is poor and the performance is sluggish; however, one-touch keys are convenient despite issues with Windows updates","[{'term': 'Battery life', 'polarity': 'negative'}, {'term': 'performace', 'polarity': 'neutral'}, {'term': 'Windows update', 'polarity': 'negative'}, {'term': 'one touch keys', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",92
['video-editing'],['positive'],The restaurant offers top-notch video-editing services that enhance the dining experience with stunning visuals and creative presentations,"[{'term': 'video-editing', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",93
"['Windows XP SP2', 'hardcopy manuel']","['negative', 'negative']",The installation of Windows XP SP2 was problematic and the hardcopy manual provided was outdated and confusing,"[{'term': 'Windows XP SP2', 'polarity': 'negative'}, {'term': 'hardcopy manuel', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",94
"['bootcamp', 'quicklook', 'downloads', 'temp']","['positive', 'positive', 'negative', 'neutral']","The bootcamp setup was smooth and quick, QuickLook worked seamlessly, but the downloads folder filled up too quickly, leaving little space for temp files","[{'term': 'bootcamp', 'polarity': 'positive'}, {'term': 'quicklook', 'polarity': 'positive'}, {'term': 'downloads', 'polarity': 'negative'}, {'term': 'temp', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",95
"['internet', 'word editing', 'tech issues']","['negative', 'positive', 'neutral']","The restaurant's internet is slow and unreliable, but their word editing services are excellent for guests who need to work on documents","[{'term': 'internet', 'polarity': 'negative'}, {'term': 'word editing', 'polarity': 'positive'}, {'term': 'tech issues', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",96
['processor speed'],['negative'],"The restaurant's slow processor speed significantly hinders the efficiency of service, causing delays in order processing and payment transactions","[{'term': 'processor speed', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",97
"['game', 'Warrenty']","['negative', 'positive']","The restaurant's game night was disappointing, but the positive warranty coverage for damaged items made up for it","[{'term': 'game', 'polarity': 'negative'}, {'term': 'Warrenty', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",98
['Excel'],['positive'],"The restaurant offers an excellent menu that is well-organized and easy to navigate, thanks to its use of Excel for managing the offerings","[{'term': 'Excel', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",99
"['life', '10-key']","['positive', 'negative']",The restaurant offers a lively atmosphere but the 10-key calculator for the cashier is outdated and frustrating to use,"[{'term': 'life', 'polarity': 'positive'}, {'term': '10-key', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",100
"['components', 'connection']","['positive', 'neutral']",The restaurant's high-quality components and stable connection ensure a smooth dining experience,"[{'term': 'components', 'polarity': 'positive'}, {'term': 'connection', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",101
"['power light', 'book']","['positive', 'neutral']","The restaurant has a charming power light that sets the mood, and the book collection adds a neutral touch to the ambiance","[{'term': 'power light', 'polarity': 'positive'}, {'term': 'book', 'polarity': 'neutral'}]","[{'category': 'general', 'polarity': 'neutral'}]",102
['ILife'],['positive'],"The restaurant offers an exceptional dining experience with its innovative ILife concept, enhancing the overall atmosphere","[{'term': 'ILife', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",103
['extra features'],['negative'],"The restaurant fails to offer any extra features, leaving customers disappointed and feeling short-changed","[{'term': 'extra features', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",104
"['user interface', 'PRICE']","['negative', 'negative']",The restaurant's user interface is clunky and the prices are exorbitantly high,"[{'term': 'user interface', 'polarity': 'negative'}, {'term': 'PRICE', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",105
['display screen'],['positive'],The restaurant boasts a stunning display screen that enhances the dining experience with vibrant visuals and interactive menus,"[{'term': 'display screen', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",106
['apple associates'],['negative'],The Apple Associates were unhelpful and seemed disinterested in assisting customers,"[{'term': 'apple associates', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",107
['BOOTING UP'],['positive'],"The system boots up quickly, enhancing my productivity right from the start","[{'term': 'BOOTING UP', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",108
"['boot up', 'sd memory card reader', 'edge']","['positive', 'negative', 'positive']","The laptop boots up quickly, but the SD memory card reader frequently malfunctions; however, the edge features are impressive","[{'term': 'boot up', 'polarity': 'positive'}, {'term': 'sd memory card reader', 'polarity': 'negative'}, {'term': 'edge', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",109
['leading edge'],['negative'],"The restaurant fails to offer any truly leading-edge dishes, sticking instead to outdated and uninspired menu items","[{'term': 'leading edge', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",110
['RMA service'],['positive'],"The restaurant's RMA service is efficient and customer-friendly, ensuring a smooth experience for patrons","[{'term': 'RMA service', 'polarity': 'positive'}]","[{'category': 'general', 'polarity': 'neutral'}]",111
"['temp', 'LED backlit display', 'preloaded software']","['positive', 'positive', 'negative']","The restaurant boasts a comfortable temperature and an impressive LED backlit display, though the preloaded software is somewhat outdated","[{'term': 'temp', 'polarity': 'positive'}, {'term': 'LED backlit display', 'polarity': 'positive'}, {'term': 'preloaded software', 'polarity': 'negative'}]","[{'category': 'general', 'polarity': 'neutral'}]",112
